Category,Model,Rating,RaterID,Score
Dependant-Needy,lorenzo,Kawaii,Timo,4
Dependant-Needy,lorenzo,Warmth,Timo,3
Dependant-Needy,lorenzo,Expressiveness,Timo,2
Escapist-Dreamy,sanne,Kawaii,Timo,4
Escapist-Dreamy,sanne,Warmth,Timo,4
Escapist-Dreamy,sanne,Expressiveness,Timo,5
Cool-Clever,victor,Kawaii,Timo,3
Cool-Clever,victor,Warmth,Timo,2
Cool-Clever,victor,Expressiveness,Timo,2
Dependant-Needy,margot,Kawaii,Timo,5
Dependant-Needy,margot,Warmth,Timo,4
Dependant-Needy,margot,Expressiveness,Timo,3
Escapist-Dreamy,leandro,Kawaii,Timo,3
Escapist-Dreamy,leandro,Warmth,Timo,2
Escapist-Dreamy,leandro,Expressiveness,Timo,2
Dependant-Needy,pradathi,Kawaii,Timo,4
Dependant-Needy,pradathi,Warmth,Timo,3
Dependant-Needy,pradathi,Expressiveness,Timo,4
Normal-Warmup,sanne,Kawaii,Timo,3
Normal-Warmup,sanne,Warmth,Timo,4
Normal-Warmup,sanne,Expressiveness,Timo,4
Playful-Clumsy,renan,Kawaii,Timo,4
Playful-Clumsy,renan,Warmth,Timo,3
Playful-Clumsy,renan,Expressiveness,Timo,2
Joyful-Smiling,matheusz,Kawaii,Timo,3
Joyful-Smiling,matheusz,Warmth,Timo,4
Joyful-Smiling,matheusz,Expressiveness,Timo,4
Escapist-Dreamy,kelly,Kawaii,Timo,4
Escapist-Dreamy,kelly,Warmth,Timo,3
Escapist-Dreamy,kelly,Expressiveness,Timo,3
Shy-Gentle,renan,Kawaii,Timo,5
Shy-Gentle,renan,Warmth,Timo,4
Shy-Gentle,renan,Expressiveness,Timo,4
Escapist-Dreamy,rose,Kawaii,Timo,4
Escapist-Dreamy,rose,Warmth,Timo,3
Escapist-Dreamy,rose,Expressiveness,Timo,2
Normal-Warmup,lorenzo,Kawaii,Timo,2
Normal-Warmup,lorenzo,Warmth,Timo,2
Normal-Warmup,lorenzo,Expressiveness,Timo,3
Playful-Clumsy,leslie,Kawaii,Timo,2
Playful-Clumsy,leslie,Warmth,Timo,2
Playful-Clumsy,leslie,Expressiveness,Timo,2
Dependant-Needy,leandro,Kawaii,Timo,3
Dependant-Needy,leandro,Warmth,Timo,2
Dependant-Needy,leandro,Expressiveness,Timo,2
Shy-Gentle,kelly,Kawaii,Timo,4
Shy-Gentle,kelly,Warmth,Timo,3
Shy-Gentle,kelly,Expressiveness,Timo,4
Escapist-Dreamy,leslie,Kawaii,Timo,3
Escapist-Dreamy,leslie,Warmth,Timo,3
Escapist-Dreamy,leslie,Expressiveness,Timo,3
Playful-Clumsy,sanne,Kawaii,Timo,5
Playful-Clumsy,sanne,Warmth,Timo,4
Playful-Clumsy,sanne,Expressiveness,Timo,4
Shy-Gentle,leslie,Kawaii,Timo,4
Shy-Gentle,leslie,Warmth,Timo,3
Shy-Gentle,leslie,Expressiveness,Timo,4
Cool-Clever,rose,Kawaii,Timo,3
Cool-Clever,rose,Warmth,Timo,3
Cool-Clever,rose,Expressiveness,Timo,2
Escapist-Dreamy,margot,Kawaii,Timo,3
Escapist-Dreamy,margot,Warmth,Timo,4
Escapist-Dreamy,margot,Expressiveness,Timo,3
Normal-Warmup,renan,Kawaii,Timo,2
Normal-Warmup,renan,Warmth,Timo,3
Normal-Warmup,renan,Expressiveness,Timo,3
Escapist-Dreamy,matheusz,Kawaii,Timo,4
Escapist-Dreamy,matheusz,Warmth,Timo,3
Escapist-Dreamy,matheusz,Expressiveness,Timo,4
Dependant-Needy,sanne,Kawaii,Timo,4
Dependant-Needy,sanne,Warmth,Timo,3
Dependant-Needy,sanne,Expressiveness,Timo,3
Playful-Clumsy,pradathi,Kawaii,Timo,4
Playful-Clumsy,pradathi,Warmth,Timo,3
Playful-Clumsy,pradathi,Expressiveness,Timo,3
Joyful-Smiling,sanne,Kawaii,Timo,4
Joyful-Smiling,sanne,Warmth,Timo,3
Joyful-Smiling,sanne,Expressiveness,Timo,3
Normal-Warmup,rose,Kawaii,Timo,2
Normal-Warmup,rose,Warmth,Timo,3
Normal-Warmup,rose,Expressiveness,Timo,3
Shy-Gentle,margot,Kawaii,Timo,5
Shy-Gentle,margot,Warmth,Timo,4
Shy-Gentle,margot,Expressiveness,Timo,4
Joyful-Smiling,victor,Kawaii,Timo,4
Joyful-Smiling,victor,Warmth,Timo,3
Joyful-Smiling,victor,Expressiveness,Timo,3
Shy-Gentle,leandro,Kawaii,Timo,5
Shy-Gentle,leandro,Warmth,Timo,4
Shy-Gentle,leandro,Expressiveness,Timo,4
Joyful-Smiling,renan,Kawaii,Timo,5
Joyful-Smiling,renan,Warmth,Timo,4
Joyful-Smiling,renan,Expressiveness,Timo,4
Playful-Clumsy,rose,Kawaii,Timo,4
Playful-Clumsy,rose,Warmth,Timo,3
Playful-Clumsy,rose,Expressiveness,Timo,3
Dependant-Needy,matheusz,Kawaii,Timo,4
Dependant-Needy,matheusz,Warmth,Timo,4
Dependant-Needy,matheusz,Expressiveness,Timo,4
Joyful-Smiling,leandre,Kawaii,Timo,3
Joyful-Smiling,leandre,Warmth,Timo,3
Joyful-Smiling,leandre,Expressiveness,Timo,3
Dependant-Needy,kelly,Kawaii,Timo,5
Dependant-Needy,kelly,Warmth,Timo,4
Dependant-Needy,kelly,Expressiveness,Timo,5
Joyful-Smiling,rose,Kawaii,Timo,5
Joyful-Smiling,rose,Warmth,Timo,4
Joyful-Smiling,rose,Expressiveness,Timo,5
Escapist-Dreamy,leandre,Kawaii,Timo,3
Escapist-Dreamy,leandre,Warmth,Timo,3
Escapist-Dreamy,leandre,Expressiveness,Timo,3
Cool-Clever,matheusz,Kawaii,Timo,3
Cool-Clever,matheusz,Warmth,Timo,3
Cool-Clever,matheusz,Expressiveness,Timo,3
Shy-Gentle,sanne,Kawaii,Timo,5
Shy-Gentle,sanne,Warmth,Timo,4
Shy-Gentle,sanne,Expressiveness,Timo,5
Cool-Clever,pradathi,Kawaii,Timo,5
Cool-Clever,pradathi,Warmth,Timo,4
Cool-Clever,pradathi,Expressiveness,Timo,3
Playful-Clumsy,kelly,Kawaii,Timo,5
Playful-Clumsy,kelly,Warmth,Timo,3
Playful-Clumsy,kelly,Expressiveness,Timo,4
Normal-Warmup,leandre,Kawaii,Timo,2
Normal-Warmup,leandre,Warmth,Timo,3
