Category,Model,Rating,RaterID,Score
Shy-Gentle,sanne,Kawaii,jan,4
Shy-Gentle,sanne,Warmth,jan,5
Shy-Gentle,sanne,Expressiveness,jan,3
Dependant-Needy,leandre,Kawaii,jan,2
Dependant-Needy,leandre,Warmth,jan,2
Dependant-Needy,leandre,Expressiveness,jan,4
Playful-Clumsy,lorenzo,Kawaii,jan,4
Playful-Clumsy,lorenzo,Warmth,jan,5
Playful-Clumsy,lorenzo,Expressiveness,jan,3
Normal-Warmup,rose,Kawaii,jan,3
Normal-Warmup,rose,Warmth,jan,3
Normal-Warmup,rose,Expressiveness,jan,3
Joyful-Smiling,leslie,Kawaii,jan,5
Joyful-Smiling,leslie,Warmth,jan,4
Joyful-Smiling,leslie,Expressiveness,jan,4
Dependant-Needy,sanne,Kawaii,jan,4
Dependant-Needy,sanne,Warmth,jan,4
Dependant-Needy,sanne,Expressiveness,jan,3
Normal-Warmup,kelly,Kawaii,jan,3
Normal-Warmup,kelly,Warmth,jan,2
Normal-Warmup,kelly,Expressiveness,jan,2
Cool-Clever,victor,Kawaii,jan,2
Cool-Clever,victor,Warmth,jan,2
Cool-Clever,victor,Expressiveness,jan,4
Joyful-Smiling,rose,Kawaii,jan,5
Joyful-Smiling,rose,Warmth,jan,5
Joyful-Smiling,rose,Expressiveness,jan,4
Cool-Clever,pradathi,Kawaii,jan,5
Cool-Clever,pradathi,Warmth,jan,4
Cool-Clever,pradathi,Expressiveness,jan,4
Dependant-Needy,victor,Kawaii,jan,2
Dependant-Needy,victor,Warmth,jan,1
Dependant-Needy,victor,Expressiveness,jan,3
Cool-Clever,rose,Kawaii,jan,4
Cool-Clever,rose,Warmth,jan,3
Cool-Clever,rose,Expressiveness,jan,4
Normal-Warmup,pradathi,Kawaii,jan,2
Normal-Warmup,pradathi,Warmth,jan,3
Normal-Warmup,pradathi,Expressiveness,jan,4
Shy-Gentle,margot,Kawaii,jan,5
Shy-Gentle,margot,Warmth,jan,4
Shy-Gentle,margot,Expressiveness,jan,4
Playful-Clumsy,pradathi,Kawaii,jan,4
Playful-Clumsy,pradathi,Warmth,jan,4
Playful-Clumsy,pradathi,Expressiveness,jan,3
Cool-Clever,leslie,Kawaii,jan,4
Cool-Clever,leslie,Warmth,jan,4
Cool-Clever,leslie,Expressiveness,jan,3
Normal-Warmup,victor,Kawaii,jan,1
Normal-Warmup,victor,Warmth,jan,1
Normal-Warmup,victor,Expressiveness,jan,2
Cool-Clever,sanne,Kawaii,jan,5
Cool-Clever,sanne,Warmth,jan,3
Cool-Clever,sanne,Expressiveness,jan,3
Escapist-Dreamy,margot,Kawaii,jan,2
Escapist-Dreamy,margot,Warmth,jan,4
Escapist-Dreamy,margot,Expressiveness,jan,2
Joyful-Smiling,renan,Kawaii,jan,5
Joyful-Smiling,renan,Warmth,jan,4
Joyful-Smiling,renan,Expressiveness,jan,4
Playful-Clumsy,rose,Kawaii,jan,4
Playful-Clumsy,rose,Warmth,jan,3
Playful-Clumsy,rose,Expressiveness,jan,4
Joyful-Smiling,lorenzo,Kawaii,jan,5
Joyful-Smiling,lorenzo,Warmth,jan,3
Joyful-Smiling,lorenzo,Expressiveness,jan,3
Shy-Gentle,rose,Kawaii,jan,4
Shy-Gentle,rose,Warmth,jan,3
Shy-Gentle,rose,Expressiveness,jan,4
Dependant-Needy,pradathi,Kawaii,jan,4
Dependant-Needy,pradathi,Warmth,jan,4
Dependant-Needy,pradathi,Expressiveness,jan,3
Escapist-Dreamy,leslie,Kawaii,jan,3
Escapist-Dreamy,leslie,Warmth,jan,2
Escapist-Dreamy,leslie,Expressiveness,jan,3
Joyful-Smiling,victor,Kawaii,jan,5
Joyful-Smiling,victor,Warmth,jan,4
Joyful-Smiling,victor,Expressiveness,jan,3
Normal-Warmup,leandre,Kawaii,jan,4
Normal-Warmup,leandre,Warmth,jan,3
Normal-Warmup,leandre,Expressiveness,jan,2
Escapist-Dreamy,kelly,Kawaii,jan,5
Escapist-Dreamy,kelly,Warmth,jan,4
Escapist-Dreamy,kelly,Expressiveness,jan,5
Dependant-Needy,renan,Kawaii,jan,5
Dependant-Needy,renan,Warmth,jan,3
Dependant-Needy,renan,Expressiveness,jan,3
Playful-Clumsy,matheusz,Kawaii,jan,4
Playful-Clumsy,matheusz,Warmth,jan,3
Playful-Clumsy,matheusz,Expressiveness,jan,4
Cool-Clever,leandro,Kawaii,jan,5
Cool-Clever,leandro,Warmth,jan,3
Cool-Clever,leandro,Expressiveness,jan,4
Shy-Gentle,kelly,Kawaii,jan,5
Shy-Gentle,kelly,Warmth,jan,4
Shy-Gentle,kelly,Expressiveness,jan,5
Escapist-Dreamy,lorenzo,Kawaii,jan,1
Escapist-Dreamy,lorenzo,Warmth,jan,1
Escapist-Dreamy,lorenzo,Expressiveness,jan,3
Dependant-Needy,leslie,Kawaii,jan,2
Dependant-Needy,leslie,Warmth,jan,3
Dependant-Needy,leslie,Expressiveness,jan,4
Normal-Warmup,sanne,Kawaii,jan,1
Normal-Warmup,sanne,Warmth,jan,1
Normal-Warmup,sanne,Expressiveness,jan,3
Joyful-Smiling,pradathi,Kawaii,jan,4
Joyful-Smiling,pradathi,Warmth,jan,4
Joyful-Smiling,pradathi,Expressiveness,jan,4
Shy-Gentle,victor,Kawaii,jan,5
Shy-Gentle,victor,Warmth,jan,3
Shy-Gentle,victor,Expressiveness,jan,4
Playful-Clumsy,leslie,Kawaii,jan,4
Playful-Clumsy,leslie,Warmth,jan,3
Playful-Clumsy,leslie,Expressiveness,jan,4
Dependant-Needy,lorenzo,Kawaii,jan,4
Dependant-Needy,lorenzo,Warmth,jan,2
Dependant-Needy,lorenzo,Expressiveness,jan,3
Playful-Clumsy,victor,Kawaii,jan,4
Playful-Clumsy,victor,Warmth,jan,4
Playful-Clumsy,victor,Expressiveness,jan,4
Cool-Clever,matheusz,Kawaii,jan,4
Cool-Clever,matheusz,Warmth,jan,3
Cool-Clever,matheusz,Expressiveness,jan,4
Playful-Clumsy,sanne,Kawaii,jan,5
Playful-Clumsy,sanne,Warmth,jan,3
Playful-Clumsy,sanne,Expressiveness,jan,4
Shy-Gentle,leandro,Kawaii,jan,5
Shy-Gentle,leandro,Warmth,jan,4
Shy-Gentle,leandro,Expressiveness,jan,4
Playful-Clumsy,renan,Kawaii,jan,5
Playful-Clumsy,renan,Warmth,jan,5
Playful-Clumsy,renan,Expressiveness,jan,5
Joyful-Smiling,kelly,Kawaii,jan,4
Joyful-Smiling,kelly,Warmth,jan,4
Joyful-Smiling,kelly,Expressiveness,jan,5
Dependant-Needy,leandro,Kawaii,jan,3
Dependant-Needy,leandro,Warmth,jan,3
Dependant-Needy,leandro,Expressiveness,jan,4
Escapist-Dreamy,renan,Kawaii,jan,2
Escapist-Dreamy,renan,Warmth,jan,3
Escapist-Dreamy,renan,Expressiveness,jan,4
Shy-Gentle,pradathi,Kawaii,jan,5
Shy-Gentle,pradathi,Warmth,jan,3
Shy-Gentle,pradathi,Expressiveness,jan,4
Playful-Clumsy,margot,Kawaii,jan,5
Playful-Clumsy,margot,Warmth,jan,5
Playful-Clumsy,margot,Expressiveness,jan,4
Joyful-Smiling,leandre,Kawaii,jan,4
Joyful-Smiling,leandre,Warmth,jan,4
Joyful-Smiling,leandre,Expressiveness,jan,3
Normal-Warmup,renan,Kawaii,jan,1
Normal-Warmup,renan,Warmth,jan,1
Normal-Warmup,renan,Expressiveness,jan,4
Shy-Gentle,lorenzo,Kawaii,jan,3
Shy-Gentle,lorenzo,Warmth,jan,4
Shy-Gentle,lorenzo,Expressiveness,jan,3
Playful-Clumsy,leandre,Kawaii,jan,4
Playful-Clumsy,leandre,Warmth,jan,3
Playful-Clumsy,leandre,Expressiveness,jan,4
