Category,Model,Rating,RaterID,Score
Dependant-Needy,leandro,Kawaii,jonathan,1
Dependant-Needy,leandro,Warmth,jonathan,2
Dependant-Needy,leandro,Expressiveness,jonathan,4
Normal-Warmup,matheusz,Kawaii,jonathan,3
Normal-Warmup,matheusz,Warmth,jonathan,3
Normal-Warmup,matheusz,Expressiveness,jonathan,3
Cool-Clever,leandre,Kawaii,jonathan,2
Cool-Clever,leandre,Warmth,jonathan,2
Cool-Clever,leandre,Expressiveness,jonathan,5
Joyful-Smiling,matheusz,Kawaii,jonathan,4
Joyful-Smiling,matheusz,Warmth,jonathan,4
Joyful-Smiling,matheusz,Expressiveness,jonathan,4
Cool-Clever,sanne,Kawaii,jonathan,4
Cool-Clever,sanne,Warmth,jonathan,3
Cool-Clever,sanne,Expressiveness,jonathan,5
Escapist-Dreamy,matheusz,Kawaii,jonathan,5
Escapist-Dreamy,matheusz,Warmth,jonathan,4
Escapist-Dreamy,matheusz,Expressiveness,jonathan,4
Joyful-Smiling,kelly,Kawaii,jonathan,5
Joyful-Smiling,kelly,Warmth,jonathan,4
Joyful-Smiling,kelly,Expressiveness,jonathan,4
Playful-Clumsy,lorenzo,Kawaii,jonathan,5
Playful-Clumsy,lorenzo,Warmth,jonathan,3
Playful-Clumsy,lorenzo,Expressiveness,jonathan,3
Dependant-Needy,victor,Kawaii,jonathan,1
Dependant-Needy,victor,Warmth,jonathan,1
Dependant-Needy,victor,Expressiveness,jonathan,1
Joyful-Smiling,sanne,Kawaii,jonathan,4
Joyful-Smiling,sanne,Warmth,jonathan,3
Joyful-Smiling,sanne,Expressiveness,jonathan,3
Dependant-Needy,leslie,Kawaii,jonathan,3
Dependant-Needy,leslie,Warmth,jonathan,3
Dependant-Needy,leslie,Expressiveness,jonathan,4
Escapist-Dreamy,leandre,Kawaii,jonathan,4
Escapist-Dreamy,leandre,Warmth,jonathan,3
Escapist-Dreamy,leandre,Expressiveness,jonathan,2
Joyful-Smiling,margot,Kawaii,jonathan,4
Joyful-Smiling,margot,Warmth,jonathan,4
Joyful-Smiling,margot,Expressiveness,jonathan,4
Playful-Clumsy,leandro,Kawaii,jonathan,2
Playful-Clumsy,leandro,Warmth,jonathan,3
