Category,Model,Rating,RaterID,Score
Dependant-Needy,renan,Kawaii,michael,3
Dependant-Needy,renan,Warmth,michael,2
Dependant-Needy,renan,Expressiveness,michael,5
Joyful-Smiling,victor,Kawaii,michael,5
Joyful-Smiling,victor,Warmth,michael,5
Joyful-Smiling,victor,Expressiveness,michael,4
Normal-Warmup,leslie,Kawaii,michael,2
Normal-Warmup,leslie,Warmth,michael,4
Normal-Warmup,leslie,Expressiveness,michael,3
Playful-Clumsy,leandre,Kawaii,michael,4
Playful-Clumsy,leandre,Warmth,michael,4
Playful-Clumsy,leandre,Expressiveness,michael,4
Joyful-Smiling,leslie,Kawaii,michael,4
Joyful-Smiling,leslie,Warmth,michael,5
Joyful-Smiling,leslie,Expressiveness,michael,3
Dependant-Needy,victor,Kawaii,michael,3
Dependant-Needy,victor,Warmth,michael,2
Dependant-Needy,victor,Expressiveness,michael,5
Shy-Gentle,rose,Kawaii,michael,5
Shy-Gentle,rose,Warmth,michael,4
Shy-Gentle,rose,Expressiveness,michael,4
Cool-Clever,matheusz,Kawaii,michael,4
Cool-Clever,matheusz,Warmth,michael,2
Cool-Clever,matheusz,Expressiveness,michael,5
Escapist-Dreamy,margot,Kawaii,michael,4
Escapist-Dreamy,margot,Warmth,michael,4
Escapist-Dreamy,margot,Expressiveness,michael,3
Dependant-Needy,rose,Kawaii,michael,5
Dependant-Needy,rose,Warmth,michael,5
Dependant-Needy,rose,Expressiveness,michael,4
Escapist-Dreamy,lorenzo,Kawaii,michael,3
Escapist-Dreamy,lorenzo,Warmth,michael,4
Escapist-Dreamy,lorenzo,Expressiveness,michael,3
Cool-Clever,sanne,Kawaii,michael,4
Cool-Clever,sanne,Warmth,michael,3
Cool-Clever,sanne,Expressiveness,michael,5
Escapist-Dreamy,matheusz,Kawaii,michael,3
Escapist-Dreamy,matheusz,Warmth,michael,3
Escapist-Dreamy,matheusz,Expressiveness,michael,3
Cool-Clever,victor,Kawaii,michael,4
Cool-Clever,victor,Warmth,michael,3
Cool-Clever,victor,Expressiveness,michael,5
Escapist-Dreamy,leslie,Kawaii,michael,3
Escapist-Dreamy,leslie,Warmth,michael,3
Escapist-Dreamy,leslie,Expressiveness,michael,3
Joyful-Smiling,leandre,Kawaii,michael,4
Joyful-Smiling,leandre,Warmth,michael,5
Joyful-Smiling,leandre,Expressiveness,michael,4
Normal-Warmup,rose,Kawaii,michael,3
Normal-Warmup,rose,Warmth,michael,4
Normal-Warmup,rose,Expressiveness,michael,3
Shy-Gentle,leandre,Kawaii,michael,5
Shy-Gentle,leandre,Warmth,michael,4
Shy-Gentle,leandre,Expressiveness,michael,4
Dependant-Needy,margot,Kawaii,michael,5
Dependant-Needy,margot,Warmth,michael,5
Dependant-Needy,margot,Expressiveness,michael,4
Escapist-Dreamy,victor,Kawaii,michael,3
Escapist-Dreamy,victor,Warmth,michael,3
Escapist-Dreamy,victor,Expressiveness,michael,3
Joyful-Smiling,matheusz,Kawaii,michael,5
Joyful-Smiling,matheusz,Warmth,michael,4
Joyful-Smiling,matheusz,Expressiveness,michael,4
Normal-Warmup,renan,Kawaii,michael,3
Normal-Warmup,renan,Warmth,michael,2
Normal-Warmup,renan,Expressiveness,michael,1
Cool-Clever,leandro,Kawaii,michael,2
Cool-Clever,leandro,Warmth,michael,2
Cool-Clever,leandro,Expressiveness,michael,4
Playful-Clumsy,leslie,Kawaii,michael,4
Playful-Clumsy,leslie,Warmth,michael,2
Playful-Clumsy,leslie,Expressiveness,michael,5
Shy-Gentle,margot,Kawaii,michael,5
Shy-Gentle,margot,Warmth,michael,5
Shy-Gentle,margot,Expressiveness,michael,4
Cool-Clever,leslie,Kawaii,michael,1
Cool-Clever,leslie,Warmth,michael,2
Cool-Clever,leslie,Expressiveness,michael,4
Joyful-Smiling,margot,Kawaii,michael,4
Joyful-Smiling,margot,Warmth,michael,5
Joyful-Smiling,margot,Expressiveness,michael,4
Escapist-Dreamy,leandre,Kawaii,michael,2
Escapist-Dreamy,leandre,Warmth,michael,2
Escapist-Dreamy,leandre,Expressiveness,michael,4
Playful-Clumsy,matheusz,Kawaii,michael,4
Playful-Clumsy,matheusz,Warmth,michael,4
Playful-Clumsy,matheusz,Expressiveness,michael,3
Dependant-Needy,lorenzo,Kawaii,michael,2
Dependant-Needy,lorenzo,Warmth,michael,4
Dependant-Needy,lorenzo,Expressiveness,michael,4
Normal-Warmup,leandro,Kawaii,michael,1
Normal-Warmup,leandro,Warmth,michael,1
Normal-Warmup,leandro,Expressiveness,michael,1
Shy-Gentle,victor,Kawaii,michael,5
Shy-Gentle,victor,Warmth,michael,5
Shy-Gentle,victor,Expressiveness,michael,1
Joyful-Smiling,rose,Kawaii,michael,4
Joyful-Smiling,rose,Warmth,michael,5
Joyful-Smiling,rose,Expressiveness,michael,4
Normal-Warmup,victor,Kawaii,michael,2
Normal-Warmup,victor,Warmth,michael,2
Normal-Warmup,victor,Expressiveness,michael,2
Cool-Clever,renan,Kawaii,michael,1
Cool-Clever,renan,Warmth,michael,2
Cool-Clever,renan,Expressiveness,michael,4
Dependant-Needy,leandre,Kawaii,michael,5
Dependant-Needy,leandre,Warmth,michael,4
Dependant-Needy,leandre,Expressiveness,michael,4
Cool-Clever,lorenzo,Kawaii,michael,2
Cool-Clever,lorenzo,Warmth,michael,2
Cool-Clever,lorenzo,Expressiveness,michael,4
Normal-Warmup,leandre,Kawaii,michael,2
Normal-Warmup,leandre,Warmth,michael,2
Normal-Warmup,leandre,Expressiveness,michael,4
Dependant-Needy,sanne,Kawaii,michael,4
Dependant-Needy,sanne,Warmth,michael,4
Dependant-Needy,sanne,Expressiveness,michael,4
Playful-Clumsy,margot,Kawaii,michael,4
Playful-Clumsy,margot,Warmth,michael,3
Playful-Clumsy,margot,Expressiveness,michael,3
Escapist-Dreamy,renan,Kawaii,michael,5
Escapist-Dreamy,renan,Warmth,michael,4
Escapist-Dreamy,renan,Expressiveness,michael,5
Joyful-Smiling,kelly,Kawaii,michael,5
Joyful-Smiling,kelly,Warmth,michael,5
Joyful-Smiling,kelly,Expressiveness,michael,3
Normal-Warmup,sanne,Kawaii,michael,2
Normal-Warmup,sanne,Warmth,michael,2
Normal-Warmup,sanne,Expressiveness,michael,2
Escapist-Dreamy,pradathi,Kawaii,michael,4
Escapist-Dreamy,pradathi,Warmth,michael,4
Escapist-Dreamy,pradathi,Expressiveness,michael,3
Cool-Clever,leandre,Kawaii,michael,3
Cool-Clever,leandre,Warmth,michael,3
Cool-Clever,leandre,Expressiveness,michael,3
Shy-Gentle,lorenzo,Kawaii,michael,5
Shy-Gentle,lorenzo,Warmth,michael,5
Shy-Gentle,lorenzo,Expressiveness,michael,5
Cool-Clever,pradathi,Kawaii,michael,2
Cool-Clever,pradathi,Warmth,michael,2
Cool-Clever,pradathi,Expressiveness,michael,3
Playful-Clumsy,rose,Kawaii,michael,3
Playful-Clumsy,rose,Warmth,michael,3
Playful-Clumsy,rose,Expressiveness,michael,3
Joyful-Smiling,sanne,Kawaii,michael,4
Joyful-Smiling,sanne,Warmth,michael,4
Joyful-Smiling,sanne,Expressiveness,michael,4
Dependant-Needy,leandro,Kawaii,michael,1
Dependant-Needy,leandro,Warmth,michael,2
Dependant-Needy,leandro,Expressiveness,michael,3
Normal-Warmup,kelly,Kawaii,michael,2
Normal-Warmup,kelly,Warmth,michael,2
Normal-Warmup,kelly,Expressiveness,michael,1
Escapist-Dreamy,sanne,Kawaii,michael,4
Escapist-Dreamy,sanne,Warmth,michael,4
Escapist-Dreamy,sanne,Expressiveness,michael,4
Shy-Gentle,kelly,Kawaii,michael,5
Shy-Gentle,kelly,Warmth,michael,4
Shy-Gentle,kelly,Expressiveness,michael,4
Playful-Clumsy,leandro,Kawaii,michael,1
Playful-Clumsy,leandro,Warmth,michael,3
Playful-Clumsy,leandro,Expressiveness,michael,2
Shy-Gentle,renan,Kawaii,michael,5
Shy-Gentle,renan,Warmth,michael,4
Shy-Gentle,renan,Expressiveness,michael,3
Dependant-Needy,leslie,Kawaii,michael,4
Dependant-Needy,leslie,Warmth,michael,4
Dependant-Needy,leslie,Expressiveness,michael,2
Playful-Clumsy,lorenzo,Kawaii,michael,4
Playful-Clumsy,lorenzo,Warmth,michael,4
Playful-Clumsy,lorenzo,Expressiveness,michael,4
Dependant-Needy,pradathi,Kawaii,michael,4
Dependant-Needy,pradathi,Warmth,michael,2
Dependant-Needy,pradathi,Expressiveness,michael,3
Normal-Warmup,lorenzo,Kawaii,michael,1
Normal-Warmup,lorenzo,Warmth,michael,1
Normal-Warmup,lorenzo,Expressiveness,michael,1
Joyful-Smiling,pradathi,Kawaii,michael,4
Joyful-Smiling,pradathi,Warmth,michael,4
Joyful-Smiling,pradathi,Expressiveness,michael,4
Playful-Clumsy,renan,Kawaii,michael,5
Playful-Clumsy,renan,Warmth,michael,5
Playful-Clumsy,renan,Expressiveness,michael,5
Shy-Gentle,matheusz,Kawaii,michael,4
Shy-Gentle,matheusz,Warmth,michael,5
Shy-Gentle,matheusz,Expressiveness,michael,3
Escapist-Dreamy,rose,Kawaii,michael,4
Escapist-Dreamy,rose,Warmth,michael,4
Escapist-Dreamy,rose,Expressiveness,michael,5
Playful-Clumsy,sanne,Kawaii,michael,4
Playful-Clumsy,sanne,Warmth,michael,5
Playful-Clumsy,sanne,Expressiveness,michael,5
