Category,Model,Rating,RaterID,Score
Normal-Warmup,leandro,Kawaii,thibault,2
Normal-Warmup,leandro,Warmth,thibault,1
Normal-Warmup,leandro,Expressiveness,thibault,2
Shy-Gentle,margot,Kawaii,thibault,4
Shy-Gentle,margot,Warmth,thibault,4
Shy-Gentle,margot,Expressiveness,thibault,5
Escapist-Dreamy,renan,Kawaii,thibault,4
Escapist-Dreamy,renan,Warmth,thibault,3
Escapist-Dreamy,renan,Expressiveness,thibault,2
Normal-Warmup,rose,Kawaii,thibault,2
Normal-Warmup,rose,Warmth,thibault,2
Normal-Warmup,rose,Expressiveness,thibault,1
Dependant-Needy,victor,Kawaii,thibault,3
Dependant-Needy,victor,Warmth,thibault,2
Dependant-Needy,victor,Expressiveness,thibault,2
Normal-Warmup,renan,Kawaii,thibault,4
Normal-Warmup,renan,Warmth,thibault,2
Normal-Warmup,renan,Expressiveness,thibault,3
Playful-Clumsy,kelly,Kawaii,thibault,4
Playful-Clumsy,kelly,Warmth,thibault,4
Playful-Clumsy,kelly,Expressiveness,thibault,4
Joyful-Smiling,leslie,Kawaii,thibault,4
Joyful-Smiling,leslie,Warmth,thibault,3
Joyful-Smiling,leslie,Expressiveness,thibault,3
Cool-Clever,kelly,Kawaii,thibault,4
Cool-Clever,kelly,Warmth,thibault,3
Cool-Clever,kelly,Expressiveness,thibault,4
Dependant-Needy,margot,Kawaii,thibault,4
Dependant-Needy,margot,Warmth,thibault,4
Dependant-Needy,margot,Expressiveness,thibault,4
Joyful-Smiling,victor,Kawaii,thibault,4
Joyful-Smiling,victor,Warmth,thibault,4
Joyful-Smiling,victor,Expressiveness,thibault,5
Dependant-Needy,rose,Kawaii,thibault,4
Dependant-Needy,rose,Warmth,thibault,4
Dependant-Needy,rose,Expressiveness,thibault,4
Playful-Clumsy,matheusz,Kawaii,thibault,4
Playful-Clumsy,matheusz,Warmth,thibault,3
Playful-Clumsy,matheusz,Expressiveness,thibault,3
Escapist-Dreamy,lorenzo,Kawaii,thibault,3
Escapist-Dreamy,lorenzo,Warmth,thibault,4
Escapist-Dreamy,lorenzo,Expressiveness,thibault,5
Joyful-Smiling,leandro,Kawaii,thibault,3
Joyful-Smiling,leandro,Warmth,thibault,4
Joyful-Smiling,leandro,Expressiveness,thibault,4
Shy-Gentle,sanne,Kawaii,thibault,5
Shy-Gentle,sanne,Warmth,thibault,5
