Category,Model,Rating,RaterID,Score
Escapist-Dreamy,sanne,Kawaii,Alexandre ,3
Escapist-Dreamy,sanne,Warmth,Alexandre ,2
Escapist-Dreamy,sanne,Expressiveness,Alexandre ,3
Playful-Clumsy,lorenzo,Kawaii,Alexandre ,4
Playful-Clumsy,lorenzo,Warmth,Alexandre ,3
Playful-Clumsy,lorenzo,Expressiveness,Alexandre ,4
Normal-Warmup,leslie,Kawaii,Alexandre ,2
Normal-Warmup,leslie,Warmth,Alexandre ,2
Normal-Warmup,leslie,Expressiveness,Alexandre ,2
Playful-Clumsy,pradathi,Kawaii,Alexandre ,3
Playful-Clumsy,pradathi,Warmth,Alexandre ,3
Playful-Clumsy,pradathi,Expressiveness,Alexandre ,3
Dependant-Needy,victor,Kawaii,Alexandre ,4
Dependant-Needy,victor,Warmth,Alexandre ,4
Dependant-Needy,victor,Expressiveness,Alexandre ,4
Shy-Gentle,pradathi,Kawaii,Alexandre ,4
Shy-Gentle,pradathi,Warmth,Alexandre ,4
Shy-Gentle,pradathi,Expressiveness,Alexandre ,4
Cool-Clever,lorenzo,Kawaii,Alexandre ,2
Cool-Clever,lorenzo,Warmth,Alexandre ,4
Cool-Clever,lorenzo,Expressiveness,Alexandre ,4
Dependant-Needy,kelly,Kawaii,Alexandre ,5
Dependant-Needy,kelly,Warmth,Alexandre ,4
Dependant-Needy,kelly,Expressiveness,Alexandre ,4
Playful-Clumsy,matheusz,Kawaii,Alexandre ,4
Playful-Clumsy,matheusz,Warmth,Alexandre ,3
Playful-Clumsy,matheusz,Expressiveness,Alexandre ,4
Joyful-Smiling,kelly,Kawaii,Alexandre ,5
Joyful-Smiling,kelly,Warmth,Alexandre ,4
Joyful-Smiling,kelly,Expressiveness,Alexandre ,4
Normal-Warmup,lorenzo,Kawaii,Alexandre ,2
Normal-Warmup,lorenzo,Warmth,Alexandre ,2
Normal-Warmup,lorenzo,Expressiveness,Alexandre ,2
Cool-Clever,victor,Kawaii,Alexandre ,2
Cool-Clever,victor,Warmth,Alexandre ,2
Cool-Clever,victor,Expressiveness,Alexandre ,2
Escapist-Dreamy,lorenzo,Kawaii,Alexandre ,3
Escapist-Dreamy,lorenzo,Warmth,Alexandre ,2
Escapist-Dreamy,lorenzo,Expressiveness,Alexandre ,3
Shy-Gentle,leandro,Kawaii,Alexandre ,4
Shy-Gentle,leandro,Warmth,Alexandre ,4
Shy-Gentle,leandro,Expressiveness,Alexandre ,4
Normal-Warmup,margot,Kawaii,Alexandre ,2
Normal-Warmup,margot,Warmth,Alexandre ,2
Normal-Warmup,margot,Expressiveness,Alexandre ,2
Playful-Clumsy,rose,Kawaii,Alexandre ,4
Playful-Clumsy,rose,Warmth,Alexandre ,4
Playful-Clumsy,rose,Expressiveness,Alexandre ,4
Escapist-Dreamy,leslie,Kawaii,Alexandre ,3
Escapist-Dreamy,leslie,Warmth,Alexandre ,4
Escapist-Dreamy,leslie,Expressiveness,Alexandre ,4
Cool-Clever,rose,Kawaii,Alexandre ,2
Cool-Clever,rose,Warmth,Alexandre ,2
Cool-Clever,rose,Expressiveness,Alexandre ,4
Dependant-Needy,leandro,Kawaii,Alexandre ,3
Dependant-Needy,leandro,Warmth,Alexandre ,3
Dependant-Needy,leandro,Expressiveness,Alexandre ,4
Joyful-Smiling,margot,Kawaii,Alexandre ,5
Joyful-Smiling,margot,Warmth,Alexandre ,4
Joyful-Smiling,margot,Expressiveness,Alexandre ,4
Escapist-Dreamy,rose,Kawaii,Alexandre ,3
Escapist-Dreamy,rose,Warmth,Alexandre ,3
Escapist-Dreamy,rose,Expressiveness,Alexandre ,4
Normal-Warmup,renan,Kawaii,Alexandre ,1
Normal-Warmup,renan,Warmth,Alexandre ,2
Normal-Warmup,renan,Expressiveness,Alexandre ,2
Shy-Gentle,victor,Kawaii,Alexandre ,4
Shy-Gentle,victor,Warmth,Alexandre ,4
Shy-Gentle,victor,Expressiveness,Alexandre ,4
Dependant-Needy,leandre,Kawaii,Alexandre ,2
Dependant-Needy,leandre,Warmth,Alexandre ,2
Dependant-Needy,leandre,Expressiveness,Alexandre ,3
Cool-Clever,leslie,Kawaii,Alexandre ,1
Cool-Clever,leslie,Warmth,Alexandre ,2
Cool-Clever,leslie,Expressiveness,Alexandre ,3
Playful-Clumsy,margot,Kawaii,Alexandre ,4
Playful-Clumsy,margot,Warmth,Alexandre ,4
Playful-Clumsy,margot,Expressiveness,Alexandre ,4
Shy-Gentle,sanne,Kawaii,Alexandre ,5
Shy-Gentle,sanne,Warmth,Alexandre ,3
Shy-Gentle,sanne,Expressiveness,Alexandre ,4
Joyful-Smiling,victor,Kawaii,Alexandre ,4
Joyful-Smiling,victor,Warmth,Alexandre ,4
Joyful-Smiling,victor,Expressiveness,Alexandre ,4
Normal-Warmup,leandre,Kawaii,Alexandre ,1
Normal-Warmup,leandre,Warmth,Alexandre ,2
Normal-Warmup,leandre,Expressiveness,Alexandre ,3
Playful-Clumsy,sanne,Kawaii,Alexandre ,4
Playful-Clumsy,sanne,Warmth,Alexandre ,4
Playful-Clumsy,sanne,Expressiveness,Alexandre ,4
Dependant-Needy,lorenzo,Kawaii,Alexandre ,3
Dependant-Needy,lorenzo,Warmth,Alexandre ,3
Dependant-Needy,lorenzo,Expressiveness,Alexandre ,4
Joyful-Smiling,sanne,Kawaii,Alexandre ,4
Joyful-Smiling,sanne,Warmth,Alexandre ,4
Joyful-Smiling,sanne,Expressiveness,Alexandre ,4
Playful-Clumsy,leslie,Kawaii,Alexandre ,3
Playful-Clumsy,leslie,Warmth,Alexandre ,4
Playful-Clumsy,leslie,Expressiveness,Alexandre ,3
Shy-Gentle,leandre,Kawaii,Alexandre ,4
Shy-Gentle,leandre,Warmth,Alexandre ,3
Shy-Gentle,leandre,Expressiveness,Alexandre ,3
Dependant-Needy,leslie,Kawaii,Alexandre ,3
Dependant-Needy,leslie,Warmth,Alexandre ,3
Dependant-Needy,leslie,Expressiveness,Alexandre ,3
