Category,Model,Rating,RaterID,Score
Escapist-Dreamy,rose,Kawaii,Alexis ,3
Escapist-Dreamy,rose,Warmth,Alexis ,3
Escapist-Dreamy,rose,Expressiveness,Alexis ,3
Playful-Clumsy,pradathi,Kawaii,Alexis ,2
Playful-Clumsy,pradathi,Warmth,Alexis ,2
Playful-Clumsy,pradathi,Expressiveness,Alexis ,4
Joyful-Smiling,kelly,Kawaii,Alexis ,4
Joyful-Smiling,kelly,Warmth,Alexis ,4
Joyful-Smiling,kelly,Expressiveness,Alexis ,4
Normal-Warmup,victor,Kawaii,Alexis ,3
Normal-Warmup,victor,Warmth,Alexis ,3
Normal-Warmup,victor,Expressiveness,Alexis ,2
Cool-Clever,lorenzo,Kawaii,Alexis ,2
Cool-Clever,lorenzo,Warmth,Alexis ,2
Cool-Clever,lorenzo,Expressiveness,Alexis ,4
Normal-Warmup,matheusz,Kawaii,Alexis ,3
Normal-Warmup,matheusz,Warmth,Alexis ,3
Normal-Warmup,matheusz,Expressiveness,Alexis ,3
Cool-Clever,margot,Kawaii,Alexis ,2
Cool-Clever,margot,Warmth,Alexis ,2
Cool-Clever,margot,Expressiveness,Alexis ,4
Normal-Warmup,renan,Kawaii,Alexis ,3
Normal-Warmup,renan,Warmth,Alexis ,3
Normal-Warmup,renan,Expressiveness,Alexis ,3
Cool-Clever,pradathi,Kawaii,Alexis ,2
Cool-Clever,pradathi,Warmth,Alexis ,2
Cool-Clever,pradathi,Expressiveness,Alexis ,4
Playful-Clumsy,kelly,Kawaii,Alexis ,4
Playful-Clumsy,kelly,Warmth,Alexis ,4
Playful-Clumsy,kelly,Expressiveness,Alexis ,4
Dependant-Needy,victor,Kawaii,Alexis ,2
Dependant-Needy,victor,Warmth,Alexis ,2
Dependant-Needy,victor,Expressiveness,Alexis ,3
Playful-Clumsy,leandro,Kawaii,Alexis ,2
Playful-Clumsy,leandro,Warmth,Alexis ,2
Playful-Clumsy,leandro,Expressiveness,Alexis ,4
Joyful-Smiling,lorenzo,Kawaii,Alexis ,3
Joyful-Smiling,lorenzo,Warmth,Alexis ,4
Joyful-Smiling,lorenzo,Expressiveness,Alexis ,4
Normal-Warmup,rose,Kawaii,Alexis ,2
Normal-Warmup,rose,Warmth,Alexis ,2
Normal-Warmup,rose,Expressiveness,Alexis ,2
Escapist-Dreamy,sanne,Kawaii,Alexis ,2
Escapist-Dreamy,sanne,Warmth,Alexis ,2
Escapist-Dreamy,sanne,Expressiveness,Alexis ,2
Dependant-Needy,kelly,Kawaii,Alexis ,2
Dependant-Needy,kelly,Warmth,Alexis ,2
Dependant-Needy,kelly,Expressiveness,Alexis ,4
Joyful-Smiling,leandro,Kawaii,Alexis ,2
Joyful-Smiling,leandro,Warmth,Alexis ,4
Joyful-Smiling,leandro,Expressiveness,Alexis ,4
Shy-Gentle,kelly,Kawaii,Alexis ,2
Shy-Gentle,kelly,Warmth,Alexis ,4
Shy-Gentle,kelly,Expressiveness,Alexis ,4
Playful-Clumsy,renan,Kawaii,Alexis ,2
Playful-Clumsy,renan,Warmth,Alexis ,4
Playful-Clumsy,renan,Expressiveness,Alexis ,4
Shy-Gentle,matheusz,Kawaii,Alexis ,2
Shy-Gentle,matheusz,Warmth,Alexis ,2
Shy-Gentle,matheusz,Expressiveness,Alexis ,4
Escapist-Dreamy,victor,Kawaii,Alexis ,1
Escapist-Dreamy,victor,Warmth,Alexis ,1
Escapist-Dreamy,victor,Expressiveness,Alexis ,3
