Category,Model,Rating,RaterID,Score
Shy-Gentle,margot,Kawaii,Daniel,4
Shy-Gentle,margot,Warmth,Daniel,2
Shy-Gentle,margot,Expressiveness,Daniel,4
Playful-Clumsy,rose,Kawaii,Daniel,2
Playful-Clumsy,rose,Warmth,Daniel,2
Playful-Clumsy,rose,Expressiveness,Daniel,2
Dependant-Needy,pradathi,Kawaii,Daniel,2
Dependant-Needy,pradathi,Warmth,Daniel,4
Dependant-Needy,pradathi,Expressiveness,Daniel,5
Playful-Clumsy,leandre,Kawaii,Daniel,2
Playful-Clumsy,leandre,Warmth,Daniel,2
Playful-Clumsy,leandre,Expressiveness,Daniel,4
Cool-Clever,leandro,Kawaii,Daniel,2
Cool-Clever,leandro,Warmth,Daniel,2
Cool-Clever,leandro,Expressiveness,Daniel,3
Playful-Clumsy,kelly,Kawaii,Daniel,4
Playful-Clumsy,kelly,Warmth,Daniel,3
Playful-Clumsy,kelly,Expressiveness,Daniel,3
Cool-Clever,matheusz,Kawaii,Daniel,2
Cool-Clever,matheusz,Warmth,Daniel,4
Cool-Clever,matheusz,Expressiveness,Daniel,4
Dependant-Needy,kelly,Kawaii,Daniel,5
Dependant-Needy,kelly,Warmth,Daniel,4
Dependant-Needy,kelly,Expressiveness,Daniel,4
Cool-Clever,victor,Kawaii,Daniel,2
Cool-Clever,victor,Warmth,Daniel,4
Cool-Clever,victor,Expressiveness,Daniel,4
Escapist-Dreamy,matheusz,Kawaii,Daniel,3
Escapist-Dreamy,matheusz,Warmth,Daniel,3
Escapist-Dreamy,matheusz,Expressiveness,Daniel,3
Normal-Warmup,margot,Kawaii,Daniel,2
Normal-Warmup,margot,Warmth,Daniel,2
Normal-Warmup,margot,Expressiveness,Daniel,3
Joyful-Smiling,matheusz,Kawaii,Daniel,4
Joyful-Smiling,matheusz,Warmth,Daniel,2
Joyful-Smiling,matheusz,Expressiveness,Daniel,3
Normal-Warmup,kelly,Kawaii,Daniel,2
Normal-Warmup,kelly,Warmth,Daniel,2
Normal-Warmup,kelly,Expressiveness,Daniel,4
Shy-Gentle,leandre,Kawaii,Daniel,3
Shy-Gentle,leandre,Warmth,Daniel,5
Shy-Gentle,leandre,Expressiveness,Daniel,3
Escapist-Dreamy,margot,Kawaii,Daniel,4
Escapist-Dreamy,margot,Warmth,Daniel,3
Escapist-Dreamy,margot,Expressiveness,Daniel,4
Normal-Warmup,matheusz,Kawaii,Daniel,2
Normal-Warmup,matheusz,Warmth,Daniel,2
Normal-Warmup,matheusz,Expressiveness,Daniel,2
Cool-Clever,rose,Kawaii,Daniel,2
Cool-Clever,rose,Warmth,Daniel,2
Cool-Clever,rose,Expressiveness,Daniel,4
Shy-Gentle,kelly,Kawaii,Daniel,5
Shy-Gentle,kelly,Warmth,Daniel,4
Shy-Gentle,kelly,Expressiveness,Daniel,4
Cool-Clever,margot,Kawaii,Daniel,2
Cool-Clever,margot,Warmth,Daniel,4
Cool-Clever,margot,Expressiveness,Daniel,5
Escapist-Dreamy,renan,Kawaii,Daniel,2
Escapist-Dreamy,renan,Warmth,Daniel,2
Escapist-Dreamy,renan,Expressiveness,Daniel,4
Playful-Clumsy,margot,Kawaii,Daniel,2
Playful-Clumsy,margot,Warmth,Daniel,4
Playful-Clumsy,margot,Expressiveness,Daniel,3
Shy-Gentle,leandro,Kawaii,Daniel,3
Shy-Gentle,leandro,Warmth,Daniel,3
Shy-Gentle,leandro,Expressiveness,Daniel,3
Joyful-Smiling,pradathi,Kawaii,Daniel,4
Joyful-Smiling,pradathi,Warmth,Daniel,3
Joyful-Smiling,pradathi,Expressiveness,Daniel,2
Normal-Warmup,leandro,Kawaii,Daniel,2
Normal-Warmup,leandro,Warmth,Daniel,2
Normal-Warmup,leandro,Expressiveness,Daniel,2
Dependant-Needy,margot,Kawaii,Daniel,4
Dependant-Needy,margot,Warmth,Daniel,4
Dependant-Needy,margot,Expressiveness,Daniel,4
Joyful-Smiling,kelly,Kawaii,Daniel,5
Joyful-Smiling,kelly,Warmth,Daniel,5
Joyful-Smiling,kelly,Expressiveness,Daniel,5
Escapist-Dreamy,leandro,Kawaii,Daniel,2
Escapist-Dreamy,leandro,Warmth,Daniel,2
Escapist-Dreamy,leandro,Expressiveness,Daniel,2
Joyful-Smiling,lorenzo,Kawaii,Daniel,3
Joyful-Smiling,lorenzo,Warmth,Daniel,3
Joyful-Smiling,lorenzo,Expressiveness,Daniel,4
Dependant-Needy,leandro,Kawaii,Daniel,2
Dependant-Needy,leandro,Warmth,Daniel,2
