Category,Model,Rating,RaterID,Score
Normal-Warmup,kelly,Kawaii,Esmee,3
Normal-Warmup,kelly,Warmth,Esmee,3
Normal-Warmup,kelly,Expressiveness,Esmee,3
Playful-Clumsy,sanne,Kawaii,Esmee,4
Playful-Clumsy,sanne,Warmth,Esmee,4
Playful-Clumsy,sanne,Expressiveness,Esmee,4
Escapist-Dreamy,rose,Kawaii,Esmee,4
Escapist-Dreamy,rose,Warmth,Esmee,3
Escapist-Dreamy,rose,Expressiveness,Esmee,3
Joyful-Smiling,leandro,Kawaii,Esmee,3
Joyful-Smiling,leandro,Warmth,Esmee,4
Joyful-Smiling,leandro,Expressiveness,Esmee,3
Dependant-Needy,matheusz,Kawaii,Esmee,2
Dependant-Needy,matheusz,Warmth,Esmee,3
Dependant-Needy,matheusz,Expressiveness,Esmee,2
Escapist-Dreamy,leandre,Kawaii,Esmee,2
Escapist-Dreamy,leandre,Warmth,Esmee,2
Escapist-Dreamy,leandre,Expressiveness,Esmee,2
Dependant-Needy,margot,Kawaii,Esmee,3
Dependant-Needy,margot,Warmth,Esmee,3
Dependant-Needy,margot,Expressiveness,Esmee,3
Joyful-Smiling,rose,Kawaii,Esmee,4
Joyful-Smiling,rose,Warmth,Esmee,3
Joyful-Smiling,rose,Expressiveness,Esmee,3
Playful-Clumsy,leslie,Kawaii,Esmee,3
Playful-Clumsy,leslie,Warmth,Esmee,3
Playful-Clumsy,leslie,Expressiveness,Esmee,3
