Category,Model,Rating,RaterID,Score
Escapist-Dreamy,kelly,Kawaii,Gavril,3
Escapist-Dreamy,kelly,Warmth,Gavril,3
Escapist-Dreamy,kelly,Expressiveness,Gavril,3
Shy-Gentle,victor,Kawaii,Gavril,5
Shy-Gentle,victor,Warmth,Gavril,3
Shy-Gentle,victor,Expressiveness,Gavril,3
Normal-Warmup,matheusz,Kawaii,Gavril,2
Normal-Warmup,matheusz,Warmth,Gavril,3
Normal-Warmup,matheusz,Expressiveness,Gavril,4
Dependant-Needy,lorenzo,Kawaii,Gavril,4
Dependant-Needy,lorenzo,Warmth,Gavril,3
Dependant-Needy,lorenzo,Expressiveness,Gavril,4
Normal-Warmup,leandre,Kawaii,Gavril,1
Normal-Warmup,leandre,Warmth,Gavril,2
Normal-Warmup,leandre,Expressiveness,Gavril,4
Joyful-Smiling,leandro,Kawaii,Gavril,5
Joyful-Smiling,leandro,Warmth,Gavril,5
Joyful-Smiling,leandro,Expressiveness,Gavril,4
Normal-Warmup,lorenzo,Kawaii,Gavril,2
Normal-Warmup,lorenzo,Warmth,Gavril,3
Normal-Warmup,lorenzo,Expressiveness,Gavril,4
Playful-Clumsy,matheusz,Kawaii,Gavril,4
Playful-Clumsy,matheusz,Warmth,Gavril,4
Playful-Clumsy,matheusz,Expressiveness,Gavril,4
Dependant-Needy,leandro,Kawaii,Gavril,3
Dependant-Needy,leandro,Warmth,Gavril,3
Dependant-Needy,leandro,Expressiveness,Gavril,2
Cool-Clever,matheusz,Kawaii,Gavril,2
Cool-Clever,matheusz,Warmth,Gavril,4
Cool-Clever,matheusz,Expressiveness,Gavril,4
Dependant-Needy,kelly,Kawaii,Gavril,4
Dependant-Needy,kelly,Warmth,Gavril,4
Dependant-Needy,kelly,Expressiveness,Gavril,2
Escapist-Dreamy,sanne,Kawaii,Gavril,3
Escapist-Dreamy,sanne,Warmth,Gavril,2
Escapist-Dreamy,sanne,Expressiveness,Gavril,2
Playful-Clumsy,margot,Kawaii,Gavril,4
Playful-Clumsy,margot,Warmth,Gavril,5
Playful-Clumsy,margot,Expressiveness,Gavril,4
Normal-Warmup,sanne,Kawaii,Gavril,2
Normal-Warmup,sanne,Warmth,Gavril,3
Normal-Warmup,sanne,Expressiveness,Gavril,4
Dependant-Needy,victor,Kawaii,Gavril,2
Dependant-Needy,victor,Warmth,Gavril,2
Dependant-Needy,victor,Expressiveness,Gavril,2
Playful-Clumsy,leslie,Kawaii,Gavril,4
Playful-Clumsy,leslie,Warmth,Gavril,5
Playful-Clumsy,leslie,Expressiveness,Gavril,4
Joyful-Smiling,pradathi,Kawaii,Gavril,5
Joyful-Smiling,pradathi,Warmth,Gavril,5
Joyful-Smiling,pradathi,Expressiveness,Gavril,4
Normal-Warmup,renan,Kawaii,Gavril,3
Normal-Warmup,renan,Warmth,Gavril,3
Normal-Warmup,renan,Expressiveness,Gavril,4
Cool-Clever,lorenzo,Kawaii,Gavril,3
Cool-Clever,lorenzo,Warmth,Gavril,3
Cool-Clever,lorenzo,Expressiveness,Gavril,3
Dependant-Needy,leslie,Kawaii,Gavril,4
Dependant-Needy,leslie,Warmth,Gavril,3
Dependant-Needy,leslie,Expressiveness,Gavril,3
Shy-Gentle,rose,Kawaii,Gavril,5
Shy-Gentle,rose,Warmth,Gavril,4
Shy-Gentle,rose,Expressiveness,Gavril,4
Joyful-Smiling,kelly,Kawaii,Gavril,5
Joyful-Smiling,kelly,Warmth,Gavril,5
Joyful-Smiling,kelly,Expressiveness,Gavril,4
Dependant-Needy,matheusz,Kawaii,Gavril,5
Dependant-Needy,matheusz,Warmth,Gavril,4
Dependant-Needy,matheusz,Expressiveness,Gavril,3
Normal-Warmup,rose,Kawaii,Gavril,2
Normal-Warmup,rose,Warmth,Gavril,3
Normal-Warmup,rose,Expressiveness,Gavril,3
Playful-Clumsy,leandro,Kawaii,Gavril,5
Playful-Clumsy,leandro,Warmth,Gavril,4
Playful-Clumsy,leandro,Expressiveness,Gavril,4
Dependant-Needy,renan,Kawaii,Gavril,4
Dependant-Needy,renan,Warmth,Gavril,3
Dependant-Needy,renan,Expressiveness,Gavril,3
Escapist-Dreamy,leslie,Kawaii,Gavril,3
Escapist-Dreamy,leslie,Warmth,Gavril,4
Escapist-Dreamy,leslie,Expressiveness,Gavril,5
Joyful-Smiling,victor,Kawaii,Gavril,4
Joyful-Smiling,victor,Warmth,Gavril,5
Joyful-Smiling,victor,Expressiveness,Gavril,4
Normal-Warmup,leandro,Kawaii,Gavril,2
Normal-Warmup,leandro,Warmth,Gavril,3
Normal-Warmup,leandro,Expressiveness,Gavril,3
Playful-Clumsy,pradathi,Kawaii,Gavril,5
Playful-Clumsy,pradathi,Warmth,Gavril,4
Playful-Clumsy,pradathi,Expressiveness,Gavril,4
Joyful-Smiling,margot,Kawaii,Gavril,5
Joyful-Smiling,margot,Warmth,Gavril,4
Joyful-Smiling,margot,Expressiveness,Gavril,4
Playful-Clumsy,rose,Kawaii,Gavril,4
Playful-Clumsy,rose,Warmth,Gavril,4
Playful-Clumsy,rose,Expressiveness,Gavril,2
Escapist-Dreamy,lorenzo,Kawaii,Gavril,3
Escapist-Dreamy,lorenzo,Warmth,Gavril,3
Escapist-Dreamy,lorenzo,Expressiveness,Gavril,3
Playful-Clumsy,renan,Kawaii,Gavril,5
Playful-Clumsy,renan,Warmth,Gavril,4
Playful-Clumsy,renan,Expressiveness,Gavril,4
Cool-Clever,kelly,Kawaii,Gavril,2
Cool-Clever,kelly,Warmth,Gavril,4
Cool-Clever,kelly,Expressiveness,Gavril,4
Playful-Clumsy,sanne,Kawaii,Gavril,5
Playful-Clumsy,sanne,Warmth,Gavril,4
Playful-Clumsy,sanne,Expressiveness,Gavril,4
Dependant-Needy,pradathi,Kawaii,Gavril,4
Dependant-Needy,pradathi,Warmth,Gavril,3
Dependant-Needy,pradathi,Expressiveness,Gavril,3
Normal-Warmup,victor,Kawaii,Gavril,2
Normal-Warmup,victor,Warmth,Gavril,3
Normal-Warmup,victor,Expressiveness,Gavril,4
Shy-Gentle,sanne,Kawaii,Gavril,5
Shy-Gentle,sanne,Warmth,Gavril,3
Shy-Gentle,sanne,Expressiveness,Gavril,2
Cool-Clever,leslie,Kawaii,Gavril,3
Cool-Clever,leslie,Warmth,Gavril,3
Cool-Clever,leslie,Expressiveness,Gavril,3
Joyful-Smiling,matheusz,Kawaii,Gavril,4
Joyful-Smiling,matheusz,Warmth,Gavril,5
Joyful-Smiling,matheusz,Expressiveness,Gavril,5
Dependant-Needy,leandre,Kawaii,Gavril,4
Dependant-Needy,leandre,Warmth,Gavril,3
Dependant-Needy,leandre,Expressiveness,Gavril,3
Cool-Clever,leandro,Kawaii,Gavril,2
Cool-Clever,leandro,Warmth,Gavril,3
Cool-Clever,leandro,Expressiveness,Gavril,3
Dependant-Needy,sanne,Kawaii,Gavril,5
Dependant-Needy,sanne,Warmth,Gavril,4
Dependant-Needy,sanne,Expressiveness,Gavril,3
Escapist-Dreamy,leandro,Kawaii,Gavril,2
Escapist-Dreamy,leandro,Warmth,Gavril,3
Escapist-Dreamy,leandro,Expressiveness,Gavril,3
Shy-Gentle,lorenzo,Kawaii,Gavril,5
Shy-Gentle,lorenzo,Warmth,Gavril,3
Shy-Gentle,lorenzo,Expressiveness,Gavril,3
Cool-Clever,sanne,Kawaii,Gavril,2
Cool-Clever,sanne,Warmth,Gavril,3
Cool-Clever,sanne,Expressiveness,Gavril,3
Joyful-Smiling,lorenzo,Kawaii,Gavril,5
Joyful-Smiling,lorenzo,Warmth,Gavril,5
Joyful-Smiling,lorenzo,Expressiveness,Gavril,5
Escapist-Dreamy,pradathi,Kawaii,Gavril,3
Escapist-Dreamy,pradathi,Warmth,Gavril,3
Escapist-Dreamy,pradathi,Expressiveness,Gavril,2
Normal-Warmup,kelly,Kawaii,Gavril,2
Normal-Warmup,kelly,Warmth,Gavril,3
Normal-Warmup,kelly,Expressiveness,Gavril,3
Cool-Clever,victor,Kawaii,Gavril,3
Cool-Clever,victor,Warmth,Gavril,3
Cool-Clever,victor,Expressiveness,Gavril,3
Escapist-Dreamy,renan,Kawaii,Gavril,4
Escapist-Dreamy,renan,Warmth,Gavril,3
Escapist-Dreamy,renan,Expressiveness,Gavril,3
Cool-Clever,pradathi,Kawaii,Gavril,2
Cool-Clever,pradathi,Warmth,Gavril,3
Cool-Clever,pradathi,Expressiveness,Gavril,3
Joyful-Smiling,sanne,Kawaii,Gavril,4
Joyful-Smiling,sanne,Warmth,Gavril,5
Joyful-Smiling,sanne,Expressiveness,Gavril,5
Cool-Clever,rose,Kawaii,Gavril,2
Cool-Clever,rose,Warmth,Gavril,3
Cool-Clever,rose,Expressiveness,Gavril,3
Dependant-Needy,margot,Kawaii,Gavril,4
Dependant-Needy,margot,Warmth,Gavril,3
Dependant-Needy,margot,Expressiveness,Gavril,3
Shy-Gentle,matheusz,Kawaii,Gavril,4
Shy-Gentle,matheusz,Warmth,Gavril,3
Shy-Gentle,matheusz,Expressiveness,Gavril,3
Dependant-Needy,rose,Kawaii,Gavril,4
Dependant-Needy,rose,Warmth,Gavril,4
Dependant-Needy,rose,Expressiveness,Gavril,3
Playful-Clumsy,leandre,Kawaii,Gavril,4
Playful-Clumsy,leandre,Warmth,Gavril,4
Playful-Clumsy,leandre,Expressiveness,Gavril,3
Normal-Warmup,pradathi,Kawaii,Gavril,2
Normal-Warmup,pradathi,Warmth,Gavril,3
Normal-Warmup,pradathi,Expressiveness,Gavril,4
Shy-Gentle,leandre,Kawaii,Gavril,4
Shy-Gentle,leandre,Warmth,Gavril,3
Shy-Gentle,leandre,Expressiveness,Gavril,3
Cool-Clever,renan,Kawaii,Gavril,2
Cool-Clever,renan,Warmth,Gavril,3
Cool-Clever,renan,Expressiveness,Gavril,3
Escapist-Dreamy,margot,Kawaii,Gavril,2
Escapist-Dreamy,margot,Warmth,Gavril,3
