Category,Model,Rating,RaterID,Score
Joyful-Smiling,matheusz,Kawaii,Lavis,2
Joyful-Smiling,matheusz,Warmth,Lavis,5
Joyful-Smiling,matheusz,Expressiveness,Lavis,3
Normal-Warmup,renan,Kawaii,Lavis,1
Normal-Warmup,renan,Warmth,Lavis,2
Normal-Warmup,renan,Expressiveness,Lavis,1
Shy-Gentle,matheusz,Kawaii,Lavis,4
Shy-Gentle,matheusz,Warmth,Lavis,4
Shy-Gentle,matheusz,Expressiveness,Lavis,4
Dependant-Needy,leslie,Kawaii,Lavis,1
Dependant-Needy,leslie,Warmth,Lavis,1
Dependant-Needy,leslie,Expressiveness,Lavis,1
Shy-Gentle,sanne,Kawaii,Lavis,3
Shy-Gentle,sanne,Warmth,Lavis,3
Shy-Gentle,sanne,Expressiveness,Lavis,4
Normal-Warmup,rose,Kawaii,Lavis,1
Normal-Warmup,rose,Warmth,Lavis,1
Normal-Warmup,rose,Expressiveness,Lavis,1
Shy-Gentle,lorenzo,Kawaii,Lavis,2
Shy-Gentle,lorenzo,Warmth,Lavis,2
Shy-Gentle,lorenzo,Expressiveness,Lavis,1
Joyful-Smiling,leandre,Kawaii,Lavis,3
Joyful-Smiling,leandre,Warmth,Lavis,4
Joyful-Smiling,leandre,Expressiveness,Lavis,3
Cool-Clever,lorenzo,Kawaii,Lavis,3
Cool-Clever,lorenzo,Warmth,Lavis,4
Cool-Clever,lorenzo,Expressiveness,Lavis,2
Shy-Gentle,margot,Kawaii,Lavis,3
Shy-Gentle,margot,Warmth,Lavis,3
Shy-Gentle,margot,Expressiveness,Lavis,3
Escapist-Dreamy,renan,Kawaii,Lavis,3
Escapist-Dreamy,renan,Warmth,Lavis,4
Escapist-Dreamy,renan,Expressiveness,Lavis,4
Playful-Clumsy,lorenzo,Kawaii,Lavis,2
Playful-Clumsy,lorenzo,Warmth,Lavis,3
Playful-Clumsy,lorenzo,Expressiveness,Lavis,2
Cool-Clever,leandro,Kawaii,Lavis,3
Cool-Clever,leandro,Warmth,Lavis,4
Cool-Clever,leandro,Expressiveness,Lavis,3
Shy-Gentle,leslie,Kawaii,Lavis,3
Shy-Gentle,leslie,Warmth,Lavis,4
Shy-Gentle,leslie,Expressiveness,Lavis,4
Dependant-Needy,pradathi,Kawaii,Lavis,4
Dependant-Needy,pradathi,Warmth,Lavis,3
Dependant-Needy,pradathi,Expressiveness,Lavis,2
Shy-Gentle,victor,Kawaii,Lavis,2
Shy-Gentle,victor,Warmth,Lavis,3
Shy-Gentle,victor,Expressiveness,Lavis,4
Playful-Clumsy,leandro,Kawaii,Lavis,1
Playful-Clumsy,leandro,Warmth,Lavis,3
Playful-Clumsy,leandro,Expressiveness,Lavis,3
Shy-Gentle,leandre,Kawaii,Lavis,2
Shy-Gentle,leandre,Warmth,Lavis,3
Shy-Gentle,leandre,Expressiveness,Lavis,3
Escapist-Dreamy,pradathi,Kawaii,Lavis,3
Escapist-Dreamy,pradathi,Warmth,Lavis,3
Escapist-Dreamy,pradathi,Expressiveness,Lavis,3
Cool-Clever,leslie,Kawaii,Lavis,2
Cool-Clever,leslie,Warmth,Lavis,1
Cool-Clever,leslie,Expressiveness,Lavis,1
Joyful-Smiling,rose,Kawaii,Lavis,5
Joyful-Smiling,rose,Warmth,Lavis,5
Joyful-Smiling,rose,Expressiveness,Lavis,5
Dependant-Needy,leandre,Kawaii,Lavis,2
Dependant-Needy,leandre,Warmth,Lavis,2
Dependant-Needy,leandre,Expressiveness,Lavis,3
Joyful-Smiling,kelly,Kawaii,Lavis,4
Joyful-Smiling,kelly,Warmth,Lavis,4
Joyful-Smiling,kelly,Expressiveness,Lavis,3
Normal-Warmup,leslie,Kawaii,Lavis,1
Normal-Warmup,leslie,Warmth,Lavis,1
Normal-Warmup,leslie,Expressiveness,Lavis,2
Playful-Clumsy,margot,Kawaii,Lavis,5
Playful-Clumsy,margot,Warmth,Lavis,5
Playful-Clumsy,margot,Expressiveness,Lavis,5
Normal-Warmup,sanne,Kawaii,Lavis,1
Normal-Warmup,sanne,Warmth,Lavis,1
Normal-Warmup,sanne,Expressiveness,Lavis,2
Escapist-Dreamy,kelly,Kawaii,Lavis,4
Escapist-Dreamy,kelly,Warmth,Lavis,3
Escapist-Dreamy,kelly,Expressiveness,Lavis,3
Dependant-Needy,leandro,Kawaii,Lavis,1
Dependant-Needy,leandro,Warmth,Lavis,3
Dependant-Needy,leandro,Expressiveness,Lavis,1
Cool-Clever,margot,Kawaii,Lavis,4
Cool-Clever,margot,Warmth,Lavis,4
Cool-Clever,margot,Expressiveness,Lavis,2
Joyful-Smiling,lorenzo,Kawaii,Lavis,4
Joyful-Smiling,lorenzo,Warmth,Lavis,5
Joyful-Smiling,lorenzo,Expressiveness,Lavis,4
Cool-Clever,rose,Kawaii,Lavis,3
Cool-Clever,rose,Warmth,Lavis,3
Cool-Clever,rose,Expressiveness,Lavis,2
Escapist-Dreamy,lorenzo,Kawaii,Lavis,1
Escapist-Dreamy,lorenzo,Warmth,Lavis,1
Escapist-Dreamy,lorenzo,Expressiveness,Lavis,1
Playful-Clumsy,victor,Kawaii,Lavis,4
Playful-Clumsy,victor,Warmth,Lavis,4
Playful-Clumsy,victor,Expressiveness,Lavis,4
Escapist-Dreamy,matheusz,Kawaii,Lavis,1
Escapist-Dreamy,matheusz,Warmth,Lavis,1
Escapist-Dreamy,matheusz,Expressiveness,Lavis,4
Cool-Clever,sanne,Kawaii,Lavis,4
Cool-Clever,sanne,Warmth,Lavis,3
Cool-Clever,sanne,Expressiveness,Lavis,3
Escapist-Dreamy,leslie,Kawaii,Lavis,2
Escapist-Dreamy,leslie,Warmth,Lavis,1
Escapist-Dreamy,leslie,Expressiveness,Lavis,1
Dependant-Needy,lorenzo,Kawaii,Lavis,3
Dependant-Needy,lorenzo,Warmth,Lavis,3
Dependant-Needy,lorenzo,Expressiveness,Lavis,3
Joyful-Smiling,pradathi,Kawaii,Lavis,5
Joyful-Smiling,pradathi,Warmth,Lavis,5
Joyful-Smiling,pradathi,Expressiveness,Lavis,5
Dependant-Needy,kelly,Kawaii,Lavis,5
Dependant-Needy,kelly,Warmth,Lavis,4
Dependant-Needy,kelly,Expressiveness,Lavis,3
Shy-Gentle,rose,Kawaii,Lavis,3
Shy-Gentle,rose,Warmth,Lavis,3
Shy-Gentle,rose,Expressiveness,Lavis,3
Normal-Warmup,victor,Kawaii,Lavis,1
Normal-Warmup,victor,Warmth,Lavis,1
Normal-Warmup,victor,Expressiveness,Lavis,1
Dependant-Needy,renan,Kawaii,Lavis,2
Dependant-Needy,renan,Warmth,Lavis,3
Dependant-Needy,renan,Expressiveness,Lavis,2
Playful-Clumsy,pradathi,Kawaii,Lavis,5
Playful-Clumsy,pradathi,Warmth,Lavis,5
Playful-Clumsy,pradathi,Expressiveness,Lavis,4
Cool-Clever,leandre,Kawaii,Lavis,3
Cool-Clever,leandre,Warmth,Lavis,3
Cool-Clever,leandre,Expressiveness,Lavis,1
Joyful-Smiling,sanne,Kawaii,Lavis,5
Joyful-Smiling,sanne,Warmth,Lavis,5
Joyful-Smiling,sanne,Expressiveness,Lavis,5
Escapist-Dreamy,rose,Kawaii,Lavis,4
Escapist-Dreamy,rose,Warmth,Lavis,2
Escapist-Dreamy,rose,Expressiveness,Lavis,3
Playful-Clumsy,leandre,Kawaii,Lavis,1
Playful-Clumsy,leandre,Warmth,Lavis,2
Playful-Clumsy,leandre,Expressiveness,Lavis,1
Dependant-Needy,margot,Kawaii,Lavis,4
Dependant-Needy,margot,Warmth,Lavis,3
Dependant-Needy,margot,Expressiveness,Lavis,2
Normal-Warmup,pradathi,Kawaii,Lavis,2
Normal-Warmup,pradathi,Warmth,Lavis,1
Normal-Warmup,pradathi,Expressiveness,Lavis,1
Playful-Clumsy,renan,Kawaii,Lavis,3
Playful-Clumsy,renan,Warmth,Lavis,3
Playful-Clumsy,renan,Expressiveness,Lavis,2
Joyful-Smiling,leandro,Kawaii,Lavis,3
Joyful-Smiling,leandro,Warmth,Lavis,4
Joyful-Smiling,leandro,Expressiveness,Lavis,3
Shy-Gentle,kelly,Kawaii,Lavis,4
Shy-Gentle,kelly,Warmth,Lavis,4
Shy-Gentle,kelly,Expressiveness,Lavis,3
Normal-Warmup,margot,Kawaii,Lavis,1
Normal-Warmup,margot,Warmth,Lavis,1
Normal-Warmup,margot,Expressiveness,Lavis,1
Dependant-Needy,victor,Kawaii,Lavis,1
Dependant-Needy,victor,Warmth,Lavis,1
Dependant-Needy,victor,Expressiveness,Lavis,1
Playful-Clumsy,matheusz,Kawaii,Lavis,3
Playful-Clumsy,matheusz,Warmth,Lavis,4
Playful-Clumsy,matheusz,Expressiveness,Lavis,3
Cool-Clever,renan,Kawaii,Lavis,1
Cool-Clever,renan,Warmth,Lavis,3
Cool-Clever,renan,Expressiveness,Lavis,1
Shy-Gentle,leandro,Kawaii,Lavis,2
Shy-Gentle,leandro,Warmth,Lavis,3
Shy-Gentle,leandro,Expressiveness,Lavis,4
Dependant-Needy,sanne,Kawaii,Lavis,4
Dependant-Needy,sanne,Warmth,Lavis,4
Dependant-Needy,sanne,Expressiveness,Lavis,2
Normal-Warmup,leandro,Kawaii,Lavis,1
Normal-Warmup,leandro,Warmth,Lavis,1
Normal-Warmup,leandro,Expressiveness,Lavis,1
Escapist-Dreamy,sanne,Kawaii,Lavis,2
Escapist-Dreamy,sanne,Warmth,Lavis,1
Escapist-Dreamy,sanne,Expressiveness,Lavis,1
Playful-Clumsy,leslie,Kawaii,Lavis,1
Playful-Clumsy,leslie,Warmth,Lavis,4
Playful-Clumsy,leslie,Expressiveness,Lavis,4
Cool-Clever,victor,Kawaii,Lavis,2
Cool-Clever,victor,Warmth,Lavis,4
Cool-Clever,victor,Expressiveness,Lavis,3
Normal-Warmup,leandre,Kawaii,Lavis,1
Normal-Warmup,leandre,Warmth,Lavis,1
Normal-Warmup,leandre,Expressiveness,Lavis,1
Playful-Clumsy,sanne,Kawaii,Lavis,3
Playful-Clumsy,sanne,Warmth,Lavis,4
Playful-Clumsy,sanne,Expressiveness,Lavis,5
Joyful-Smiling,victor,Kawaii,Lavis,2
Joyful-Smiling,victor,Warmth,Lavis,5
Joyful-Smiling,victor,Expressiveness,Lavis,5
Playful-Clumsy,kelly,Kawaii,Lavis,3
Playful-Clumsy,kelly,Warmth,Lavis,4
Playful-Clumsy,kelly,Expressiveness,Lavis,4
Joyful-Smiling,leslie,Kawaii,Lavis,2
Joyful-Smiling,leslie,Warmth,Lavis,3
Joyful-Smiling,leslie,Expressiveness,Lavis,3
Dependant-Needy,matheusz,Kawaii,Lavis,2
Dependant-Needy,matheusz,Warmth,Lavis,2
Dependant-Needy,matheusz,Expressiveness,Lavis,2
Normal-Warmup,lorenzo,Kawaii,Lavis,1
Normal-Warmup,lorenzo,Warmth,Lavis,1
Normal-Warmup,lorenzo,Expressiveness,Lavis,1
Cool-Clever,kelly,Kawaii,Lavis,3
Cool-Clever,kelly,Warmth,Lavis,3
Cool-Clever,kelly,Expressiveness,Lavis,2
Escapist-Dreamy,leandre,Kawaii,Lavis,1
Escapist-Dreamy,leandre,Warmth,Lavis,1
Escapist-Dreamy,leandre,Expressiveness,Lavis,1
Cool-Clever,matheusz,Kawaii,Lavis,3
Cool-Clever,matheusz,Warmth,Lavis,3
Cool-Clever,matheusz,Expressiveness,Lavis,2
Playful-Clumsy,rose,Kawaii,Lavis,1
Playful-Clumsy,rose,Warmth,Lavis,1
Playful-Clumsy,rose,Expressiveness,Lavis,1
Joyful-Smiling,margot,Kawaii,Lavis,3
Joyful-Smiling,margot,Warmth,Lavis,4
Joyful-Smiling,margot,Expressiveness,Lavis,4
Normal-Warmup,matheusz,Kawaii,Lavis,1
Normal-Warmup,matheusz,Warmth,Lavis,1
Normal-Warmup,matheusz,Expressiveness,Lavis,1
Shy-Gentle,pradathi,Kawaii,Lavis,4
Shy-Gentle,pradathi,Warmth,Lavis,3
Shy-Gentle,pradathi,Expressiveness,Lavis,3
Normal-Warmup,kelly,Kawaii,Lavis,1
Normal-Warmup,kelly,Warmth,Lavis,1
Normal-Warmup,kelly,Expressiveness,Lavis,1
Escapist-Dreamy,victor,Kawaii,Lavis,1
Escapist-Dreamy,victor,Warmth,Lavis,1
Escapist-Dreamy,victor,Expressiveness,Lavis,1
