Category,Model,Rating,RaterID,Score
Playful-Clumsy,leandre,Kawaii,Lynn,3
Playful-Clumsy,leandre,Warmth,Lynn,4
Playful-Clumsy,leandre,Expressiveness,Lynn,4
Escapist-Dreamy,sanne,Kawaii,Lynn,4
Escapist-Dreamy,sanne,Warmth,Lynn,3
Escapist-Dreamy,sanne,Expressiveness,Lynn,5
Joyful-Smiling,kelly,Kawaii,Lynn,5
Joyful-Smiling,kelly,Warmth,Lynn,5
Joyful-Smiling,kelly,Expressiveness,Lynn,5
Playful-Clumsy,leandro,Kawaii,Lynn,3
Playful-Clumsy,leandro,Warmth,Lynn,3
Playful-Clumsy,leandro,Expressiveness,Lynn,4
Normal-Warmup,kelly,Kawaii,Lynn,3
Normal-Warmup,kelly,Warmth,Lynn,3
Normal-Warmup,kelly,Expressiveness,Lynn,2
Playful-Clumsy,matheusz,Kawaii,Lynn,4
Playful-Clumsy,matheusz,Warmth,Lynn,3
Playful-Clumsy,matheusz,Expressiveness,Lynn,5
Shy-Gentle,lorenzo,Kawaii,Lynn,5
Shy-Gentle,lorenzo,Warmth,Lynn,5
Shy-Gentle,lorenzo,Expressiveness,Lynn,5
Escapist-Dreamy,kelly,Kawaii,Lynn,4
Escapist-Dreamy,kelly,Warmth,Lynn,5
Escapist-Dreamy,kelly,Expressiveness,Lynn,5
Joyful-Smiling,lorenzo,Kawaii,Lynn,5
Joyful-Smiling,lorenzo,Warmth,Lynn,5
Joyful-Smiling,lorenzo,Expressiveness,Lynn,5
Dependant-Needy,leandre,Kawaii,Lynn,3
Dependant-Needy,leandre,Warmth,Lynn,4
Dependant-Needy,leandre,Expressiveness,Lynn,4
Shy-Gentle,margot,Kawaii,Lynn,5
Shy-Gentle,margot,Warmth,Lynn,4
Shy-Gentle,margot,Expressiveness,Lynn,4
Dependant-Needy,renan,Kawaii,Lynn,4
Dependant-Needy,renan,Warmth,Lynn,4
Dependant-Needy,renan,Expressiveness,Lynn,4
Cool-Clever,leandro,Kawaii,Lynn,2
Cool-Clever,leandro,Warmth,Lynn,1
Cool-Clever,leandro,Expressiveness,Lynn,5
Joyful-Smiling,sanne,Kawaii,Lynn,4
Joyful-Smiling,sanne,Warmth,Lynn,5
Joyful-Smiling,sanne,Expressiveness,Lynn,4
Escapist-Dreamy,leslie,Kawaii,Lynn,4
Escapist-Dreamy,leslie,Warmth,Lynn,5
Escapist-Dreamy,leslie,Expressiveness,Lynn,5
Playful-Clumsy,renan,Kawaii,Lynn,5
Playful-Clumsy,renan,Warmth,Lynn,5
Playful-Clumsy,renan,Expressiveness,Lynn,5
Normal-Warmup,lorenzo,Kawaii,Lynn,2
Normal-Warmup,lorenzo,Warmth,Lynn,3
Normal-Warmup,lorenzo,Expressiveness,Lynn,2
Escapist-Dreamy,rose,Kawaii,Lynn,3
Escapist-Dreamy,rose,Warmth,Lynn,4
Escapist-Dreamy,rose,Expressiveness,Lynn,4
Normal-Warmup,leslie,Kawaii,Lynn,2
Normal-Warmup,leslie,Warmth,Lynn,4
Normal-Warmup,leslie,Expressiveness,Lynn,4
Dependant-Needy,margot,Kawaii,Lynn,4
Dependant-Needy,margot,Warmth,Lynn,3
Dependant-Needy,margot,Expressiveness,Lynn,4
Cool-Clever,victor,Kawaii,Lynn,1
Cool-Clever,victor,Warmth,Lynn,1
Cool-Clever,victor,Expressiveness,Lynn,5
Escapist-Dreamy,renan,Kawaii,Lynn,4
Escapist-Dreamy,renan,Warmth,Lynn,4
Escapist-Dreamy,renan,Expressiveness,Lynn,4
Shy-Gentle,pradathi,Kawaii,Lynn,5
Shy-Gentle,pradathi,Warmth,Lynn,4
Shy-Gentle,pradathi,Expressiveness,Lynn,5
Playful-Clumsy,leslie,Kawaii,Lynn,2
Playful-Clumsy,leslie,Warmth,Lynn,3
Playful-Clumsy,leslie,Expressiveness,Lynn,3
Escapist-Dreamy,matheusz,Kawaii,Lynn,2
Escapist-Dreamy,matheusz,Warmth,Lynn,2
Escapist-Dreamy,matheusz,Expressiveness,Lynn,4
Shy-Gentle,leandre,Kawaii,Lynn,2
Shy-Gentle,leandre,Warmth,Lynn,2
Shy-Gentle,leandre,Expressiveness,Lynn,5
Playful-Clumsy,victor,Kawaii,Lynn,3
Playful-Clumsy,victor,Warmth,Lynn,4
Playful-Clumsy,victor,Expressiveness,Lynn,4
Cool-Clever,kelly,Kawaii,Lynn,1
Cool-Clever,kelly,Warmth,Lynn,1
Cool-Clever,kelly,Expressiveness,Lynn,5
Escapist-Dreamy,lorenzo,Kawaii,Lynn,1
Escapist-Dreamy,lorenzo,Warmth,Lynn,2
Escapist-Dreamy,lorenzo,Expressiveness,Lynn,5
Normal-Warmup,leandre,Kawaii,Lynn,2
Normal-Warmup,leandre,Warmth,Lynn,2
Normal-Warmup,leandre,Expressiveness,Lynn,3
Shy-Gentle,kelly,Kawaii,Lynn,4
Shy-Gentle,kelly,Warmth,Lynn,5
Shy-Gentle,kelly,Expressiveness,Lynn,5
Cool-Clever,renan,Kawaii,Lynn,1
Cool-Clever,renan,Warmth,Lynn,1
Cool-Clever,renan,Expressiveness,Lynn,5
Shy-Gentle,sanne,Kawaii,Lynn,4
Shy-Gentle,sanne,Warmth,Lynn,4
Shy-Gentle,sanne,Expressiveness,Lynn,4
Cool-Clever,rose,Kawaii,Lynn,1
Cool-Clever,rose,Warmth,Lynn,1
Cool-Clever,rose,Expressiveness,Lynn,1
Escapist-Dreamy,pradathi,Kawaii,Lynn,4
Escapist-Dreamy,pradathi,Warmth,Lynn,4
Escapist-Dreamy,pradathi,Expressiveness,Lynn,4
Shy-Gentle,victor,Kawaii,Lynn,5
Shy-Gentle,victor,Warmth,Lynn,5
Shy-Gentle,victor,Expressiveness,Lynn,5
Joyful-Smiling,leandre,Kawaii,Lynn,4
Joyful-Smiling,leandre,Warmth,Lynn,4
Joyful-Smiling,leandre,Expressiveness,Lynn,4
Dependant-Needy,victor,Kawaii,Lynn,2
Dependant-Needy,victor,Warmth,Lynn,2
Dependant-Needy,victor,Expressiveness,Lynn,4
Normal-Warmup,leandro,Kawaii,Lynn,2
Normal-Warmup,leandro,Warmth,Lynn,1
Normal-Warmup,leandro,Expressiveness,Lynn,4
Playful-Clumsy,margot,Kawaii,Lynn,5
Playful-Clumsy,margot,Warmth,Lynn,5
Playful-Clumsy,margot,Expressiveness,Lynn,5
Normal-Warmup,sanne,Kawaii,Lynn,1
Normal-Warmup,sanne,Warmth,Lynn,3
Normal-Warmup,sanne,Expressiveness,Lynn,4
Joyful-Smiling,pradathi,Kawaii,Lynn,4
Joyful-Smiling,pradathi,Warmth,Lynn,4
Joyful-Smiling,pradathi,Expressiveness,Lynn,4
Normal-Warmup,matheusz,Kawaii,Lynn,1
Normal-Warmup,matheusz,Warmth,Lynn,1
Normal-Warmup,matheusz,Expressiveness,Lynn,4
Shy-Gentle,leandro,Kawaii,Lynn,5
Shy-Gentle,leandro,Warmth,Lynn,5
Shy-Gentle,leandro,Expressiveness,Lynn,5
Dependant-Needy,kelly,Kawaii,Lynn,4
Dependant-Needy,kelly,Warmth,Lynn,5
Dependant-Needy,kelly,Expressiveness,Lynn,5
Joyful-Smiling,matheusz,Kawaii,Lynn,5
Joyful-Smiling,matheusz,Warmth,Lynn,5
Joyful-Smiling,matheusz,Expressiveness,Lynn,5
Playful-Clumsy,rose,Kawaii,Lynn,2
Playful-Clumsy,rose,Warmth,Lynn,4
Playful-Clumsy,rose,Expressiveness,Lynn,4
Normal-Warmup,margot,Kawaii,Lynn,2
Normal-Warmup,margot,Warmth,Lynn,2
Normal-Warmup,margot,Expressiveness,Lynn,4
Playful-Clumsy,lorenzo,Kawaii,Lynn,3
Playful-Clumsy,lorenzo,Warmth,Lynn,4
Playful-Clumsy,lorenzo,Expressiveness,Lynn,4
Shy-Gentle,renan,Kawaii,Lynn,5
