Category,Model,Rating,RaterID,Score
Normal-Warmup,matheusz,Kawaii,Raphael Dyda ,3
Normal-Warmup,matheusz,Warmth,Raphael Dyda ,2
Normal-Warmup,matheusz,Expressiveness,Raphael Dyda ,2
Joyful-Smiling,leslie,Kawaii,Raphael Dyda ,4
Joyful-Smiling,leslie,Warmth,Raphael Dyda ,4
Joyful-Smiling,leslie,Expressiveness,Raphael Dyda ,4
Dependant-Needy,kelly,Kawaii,Raphael Dyda ,5
Dependant-Needy,kelly,Warmth,Raphael Dyda ,3
Dependant-Needy,kelly,Expressiveness,Raphael Dyda ,3
Escapist-Dreamy,leandro,Kawaii,Raphael Dyda ,3
Escapist-Dreamy,leandro,Warmth,Raphael Dyda ,2
Escapist-Dreamy,leandro,Expressiveness,Raphael Dyda ,2
Shy-Gentle,rose,Kawaii,Raphael Dyda ,4
Shy-Gentle,rose,Warmth,Raphael Dyda ,2
Shy-Gentle,rose,Expressiveness,Raphael Dyda ,2
Joyful-Smiling,renan,Kawaii,Raphael Dyda ,4
Joyful-Smiling,renan,Warmth,Raphael Dyda ,4
Joyful-Smiling,renan,Expressiveness,Raphael Dyda ,3
Shy-Gentle,matheusz,Kawaii,Raphael Dyda ,3
Shy-Gentle,matheusz,Warmth,Raphael Dyda ,1
Shy-Gentle,matheusz,Expressiveness,Raphael Dyda ,2
Escapist-Dreamy,lorenzo,Kawaii,Raphael Dyda ,2
Escapist-Dreamy,lorenzo,Warmth,Raphael Dyda ,1
Escapist-Dreamy,lorenzo,Expressiveness,Raphael Dyda ,1
Normal-Warmup,sanne,Kawaii,Raphael Dyda ,1
Normal-Warmup,sanne,Warmth,Raphael Dyda ,1
Normal-Warmup,sanne,Expressiveness,Raphael Dyda ,1
Playful-Clumsy,rose,Kawaii,Raphael Dyda ,4
Playful-Clumsy,rose,Warmth,Raphael Dyda ,3
Playful-Clumsy,rose,Expressiveness,Raphael Dyda ,5
