Category,Model,Rating,RaterID,Score
Normal-Warmup,leandre,Kawaii,S,2
Normal-Warmup,leandre,Warmth,S,1
Normal-Warmup,leandre,Expressiveness,S,1
Escapist-Dreamy,leslie,Kawaii,S,5
Escapist-Dreamy,leslie,Warmth,S,2
Escapist-Dreamy,leslie,Expressiveness,S,3
Joyful-Smiling,leandro,Kawaii,S,5
Joyful-Smiling,leandro,Warmth,S,4
Joyful-Smiling,leandro,Expressiveness,S,5
Playful-Clumsy,victor,Kawaii,S,2
Playful-Clumsy,victor,Warmth,S,4
Playful-Clumsy,victor,Expressiveness,S,4
Cool-Clever,rose,Kawaii,S,3
Cool-Clever,rose,Warmth,S,2
Cool-Clever,rose,Expressiveness,S,5
Shy-Gentle,sanne,Kawaii,S,5
Shy-Gentle,sanne,Warmth,S,4
Shy-Gentle,sanne,Expressiveness,S,4
Dependant-Needy,matheusz,Kawaii,S,5
Dependant-Needy,matheusz,Warmth,S,3
Dependant-Needy,matheusz,Expressiveness,S,4
Normal-Warmup,leandro,Kawaii,S,1
Normal-Warmup,leandro,Warmth,S,1
Normal-Warmup,leandro,Expressiveness,S,1
Cool-Clever,victor,Kawaii,S,2
Cool-Clever,victor,Warmth,S,1
Cool-Clever,victor,Expressiveness,S,4
Shy-Gentle,kelly,Kawaii,S,5
Shy-Gentle,kelly,Warmth,S,3
Shy-Gentle,kelly,Expressiveness,S,4
Playful-Clumsy,margot,Kawaii,S,3
Playful-Clumsy,margot,Warmth,S,3
Playful-Clumsy,margot,Expressiveness,S,3
Shy-Gentle,rose,Kawaii,S,4
Shy-Gentle,rose,Warmth,S,3
Shy-Gentle,rose,Expressiveness,S,3
Playful-Clumsy,matheusz,Kawaii,S,4
Playful-Clumsy,matheusz,Warmth,S,3
Playful-Clumsy,matheusz,Expressiveness,S,3
Dependant-Needy,margot,Kawaii,S,5
Dependant-Needy,margot,Warmth,S,3
Dependant-Needy,margot,Expressiveness,S,4
Normal-Warmup,lorenzo,Kawaii,S,1
Normal-Warmup,lorenzo,Warmth,S,1
Normal-Warmup,lorenzo,Expressiveness,S,1
Escapist-Dreamy,kelly,Kawaii,S,3
Escapist-Dreamy,kelly,Warmth,S,3
Escapist-Dreamy,kelly,Expressiveness,S,2
Dependant-Needy,pradathi,Kawaii,S,4
Dependant-Needy,pradathi,Warmth,S,4
Dependant-Needy,pradathi,Expressiveness,S,4
Playful-Clumsy,renan,Kawaii,S,4
Playful-Clumsy,renan,Warmth,S,4
Playful-Clumsy,renan,Expressiveness,S,3
Escapist-Dreamy,matheusz,Kawaii,S,3
Escapist-Dreamy,matheusz,Warmth,S,2
Escapist-Dreamy,matheusz,Expressiveness,S,2
Cool-Clever,leslie,Kawaii,S,2
Cool-Clever,leslie,Warmth,S,2
Cool-Clever,leslie,Expressiveness,S,2
Shy-Gentle,victor,Kawaii,S,5
Shy-Gentle,victor,Warmth,S,3
Shy-Gentle,victor,Expressiveness,S,4
Escapist-Dreamy,lorenzo,Kawaii,S,1
Escapist-Dreamy,lorenzo,Warmth,S,1
Escapist-Dreamy,lorenzo,Expressiveness,S,2
Shy-Gentle,leandro,Kawaii,S,3
Shy-Gentle,leandro,Warmth,S,2
Shy-Gentle,leandro,Expressiveness,S,1
Playful-Clumsy,kelly,Kawaii,S,4
Playful-Clumsy,kelly,Warmth,S,3
Playful-Clumsy,kelly,Expressiveness,S,3
Cool-Clever,matheusz,Kawaii,S,2
Cool-Clever,matheusz,Warmth,S,2
Cool-Clever,matheusz,Expressiveness,S,4
Playful-Clumsy,leandro,Kawaii,S,3
Playful-Clumsy,leandro,Warmth,S,3
Playful-Clumsy,leandro,Expressiveness,S,2
Joyful-Smiling,rose,Kawaii,S,5
Joyful-Smiling,rose,Warmth,S,4
Joyful-Smiling,rose,Expressiveness,S,4
Dependant-Needy,leslie,Kawaii,S,2
Dependant-Needy,leslie,Warmth,S,2
Dependant-Needy,leslie,Expressiveness,S,1
Escapist-Dreamy,leandro,Kawaii,S,1
Escapist-Dreamy,leandro,Warmth,S,1
Escapist-Dreamy,leandro,Expressiveness,S,2
Joyful-Smiling,kelly,Kawaii,S,5
Joyful-Smiling,kelly,Warmth,S,5
Joyful-Smiling,kelly,Expressiveness,S,4
Dependant-Needy,sanne,Kawaii,S,4
Dependant-Needy,sanne,Warmth,S,3
Dependant-Needy,sanne,Expressiveness,S,3
