Category,Model,Rating,RaterID,Score
Cool-Clever,sanne,Kawaii,Sami,2
Cool-Clever,sanne,Warmth,Sami,2
Cool-Clever,sanne,Expressiveness,Sami,4
Joyful-Smiling,matheusz,Kawaii,Sami,4
Joyful-Smiling,matheusz,Warmth,Sami,5
Joyful-Smiling,matheusz,Expressiveness,Sami,4
Normal-Warmup,margot,Kawaii,Sami,2
Normal-Warmup,margot,Warmth,Sami,2
Normal-Warmup,margot,Expressiveness,Sami,1
Escapist-Dreamy,sanne,Kawaii,Sami,4
Escapist-Dreamy,sanne,Warmth,Sami,2
Escapist-Dreamy,sanne,Expressiveness,Sami,2
Cool-Clever,lorenzo,Kawaii,Sami,2
Cool-Clever,lorenzo,Warmth,Sami,2
Cool-Clever,lorenzo,Expressiveness,Sami,4
Playful-Clumsy,leslie,Kawaii,Sami,1
Playful-Clumsy,leslie,Warmth,Sami,2
Playful-Clumsy,leslie,Expressiveness,Sami,2
Escapist-Dreamy,pradathi,Kawaii,Sami,4
Escapist-Dreamy,pradathi,Warmth,Sami,3
Escapist-Dreamy,pradathi,Expressiveness,Sami,2
Cool-Clever,victor,Kawaii,Sami,1
Cool-Clever,victor,Warmth,Sami,2
Cool-Clever,victor,Expressiveness,Sami,4
Escapist-Dreamy,lorenzo,Kawaii,Sami,2
Escapist-Dreamy,lorenzo,Warmth,Sami,2
Escapist-Dreamy,lorenzo,Expressiveness,Sami,2
Normal-Warmup,leandro,Kawaii,Sami,1
Normal-Warmup,leandro,Warmth,Sami,1
Normal-Warmup,leandro,Expressiveness,Sami,1
Escapist-Dreamy,leslie,Kawaii,Sami,4
Escapist-Dreamy,leslie,Warmth,Sami,3
Escapist-Dreamy,leslie,Expressiveness,Sami,2
Shy-Gentle,pradathi,Kawaii,Sami,5
Shy-Gentle,pradathi,Warmth,Sami,4
Shy-Gentle,pradathi,Expressiveness,Sami,3
Dependant-Needy,rose,Kawaii,Sami,4
Dependant-Needy,rose,Warmth,Sami,3
Dependant-Needy,rose,Expressiveness,Sami,4
Escapist-Dreamy,leandro,Kawaii,Sami,2
Escapist-Dreamy,leandro,Warmth,Sami,2
Escapist-Dreamy,leandro,Expressiveness,Sami,2
Shy-Gentle,leslie,Kawaii,Sami,4
Shy-Gentle,leslie,Warmth,Sami,3
