Category,Model,Rating,RaterID,Score
Cool-Clever,leandro,Kawaii,Yann,1
Cool-Clever,leandro,Warmth,Yann,1
Cool-Clever,leandro,Expressiveness,Yann,2
Joyful-Smiling,leandre,Kawaii,Yann,3
Joyful-Smiling,leandre,Warmth,Yann,2
Joyful-Smiling,leandre,Expressiveness,Yann,4
Cool-Clever,rose,Kawaii,Yann,3
Cool-Clever,rose,Warmth,Yann,2
Cool-Clever,rose,Expressiveness,Yann,3
Escapist-Dreamy,leandre,Kawaii,Yann,3
Escapist-Dreamy,leandre,Warmth,Yann,3
Escapist-Dreamy,leandre,Expressiveness,Yann,3
Dependant-Needy,sanne,Kawaii,Yann,3
Dependant-Needy,sanne,Warmth,Yann,2
Dependant-Needy,sanne,Expressiveness,Yann,3
Playful-Clumsy,renan,Kawaii,Yann,4
Playful-Clumsy,renan,Warmth,Yann,3
Playful-Clumsy,renan,Expressiveness,Yann,4
Shy-Gentle,margot,Kawaii,Yann,3
Shy-Gentle,margot,Warmth,Yann,3
Shy-Gentle,margot,Expressiveness,Yann,4
Dependant-Needy,lorenzo,Kawaii,Yann,3
Dependant-Needy,lorenzo,Warmth,Yann,3
Dependant-Needy,lorenzo,Expressiveness,Yann,3
Playful-Clumsy,pradathi,Kawaii,Yann,3
Playful-Clumsy,pradathi,Warmth,Yann,3
Playful-Clumsy,pradathi,Expressiveness,Yann,3
Shy-Gentle,matheusz,Kawaii,Yann,3
Shy-Gentle,matheusz,Warmth,Yann,3
Shy-Gentle,matheusz,Expressiveness,Yann,3
Normal-Warmup,leandre,Kawaii,Yann,5
Normal-Warmup,leandre,Warmth,Yann,3
Normal-Warmup,leandre,Expressiveness,Yann,2
Escapist-Dreamy,kelly,Kawaii,Yann,4
Escapist-Dreamy,kelly,Warmth,Yann,3
Escapist-Dreamy,kelly,Expressiveness,Yann,3
