Category,Model,Rating,RaterID,Score
Cool-Clever,margot,Kawaii,Z125148,3
Cool-Clever,margot,Warmth,Z125148,4
Cool-Clever,margot,Expressiveness,Z125148,5
Playful-Clumsy,renan,Kawaii,Z125148,2
Playful-Clumsy,renan,Warmth,Z125148,4
Playful-Clumsy,renan,Expressiveness,Z125148,5
Cool-Clever,kelly,Kawaii,Z125148,3
Cool-Clever,kelly,Warmth,Z125148,3
Cool-Clever,kelly,Expressiveness,Z125148,5
Normal-Warmup,leslie,Kawaii,Z125148,1
Normal-Warmup,leslie,Warmth,Z125148,1
Normal-Warmup,leslie,Expressiveness,Z125148,1
Shy-Gentle,leandre,Kawaii,Z125148,1
Shy-Gentle,leandre,Warmth,Z125148,3
Shy-Gentle,leandre,Expressiveness,Z125148,4
Dependant-Needy,pradathi,Kawaii,Z125148,2
Dependant-Needy,pradathi,Warmth,Z125148,4
Dependant-Needy,pradathi,Expressiveness,Z125148,4
Playful-Clumsy,margot,Kawaii,Z125148,5
Playful-Clumsy,margot,Warmth,Z125148,5
Playful-Clumsy,margot,Expressiveness,Z125148,5
Shy-Gentle,leslie,Kawaii,Z125148,2
Shy-Gentle,leslie,Warmth,Z125148,4
Shy-Gentle,leslie,Expressiveness,Z125148,4
Escapist-Dreamy,sanne,Kawaii,Z125148,1
Escapist-Dreamy,sanne,Warmth,Z125148,2
Escapist-Dreamy,sanne,Expressiveness,Z125148,3
Shy-Gentle,victor,Kawaii,Z125148,2
Shy-Gentle,victor,Warmth,Z125148,2
Shy-Gentle,victor,Expressiveness,Z125148,3
Joyful-Smiling,leandro,Kawaii,Z125148,2
Joyful-Smiling,leandro,Warmth,Z125148,4
Joyful-Smiling,leandro,Expressiveness,Z125148,4
Playful-Clumsy,victor,Kawaii,Z125148,2
Playful-Clumsy,victor,Warmth,Z125148,1
Playful-Clumsy,victor,Expressiveness,Z125148,1
Escapist-Dreamy,lorenzo,Kawaii,Z125148,1
Escapist-Dreamy,lorenzo,Warmth,Z125148,1
Escapist-Dreamy,lorenzo,Expressiveness,Z125148,2
Normal-Warmup,leandre,Kawaii,Z125148,1
Normal-Warmup,leandre,Warmth,Z125148,1
Normal-Warmup,leandre,Expressiveness,Z125148,1
Playful-Clumsy,leandro,Kawaii,Z125148,1
Playful-Clumsy,leandro,Warmth,Z125148,4
Playful-Clumsy,leandro,Expressiveness,Z125148,4
Shy-Gentle,rose,Kawaii,Z125148,2
Shy-Gentle,rose,Warmth,Z125148,2
Shy-Gentle,rose,Expressiveness,Z125148,4
Cool-Clever,victor,Kawaii,Z125148,2
Cool-Clever,victor,Warmth,Z125148,2
Cool-Clever,victor,Expressiveness,Z125148,4
Joyful-Smiling,matheusz,Kawaii,Z125148,2
Joyful-Smiling,matheusz,Warmth,Z125148,2
Joyful-Smiling,matheusz,Expressiveness,Z125148,3
Escapist-Dreamy,leandro,Kawaii,Z125148,2
Escapist-Dreamy,leandro,Warmth,Z125148,2
Escapist-Dreamy,leandro,Expressiveness,Z125148,2
Dependant-Needy,sanne,Kawaii,Z125148,1
Dependant-Needy,sanne,Warmth,Z125148,2
Dependant-Needy,sanne,Expressiveness,Z125148,4
Escapist-Dreamy,kelly,Kawaii,Z125148,5
Escapist-Dreamy,kelly,Warmth,Z125148,5
Escapist-Dreamy,kelly,Expressiveness,Z125148,5
Shy-Gentle,renan,Kawaii,Z125148,1
Shy-Gentle,renan,Warmth,Z125148,3
Shy-Gentle,renan,Expressiveness,Z125148,4
Dependant-Needy,leslie,Kawaii,Z125148,2
Dependant-Needy,leslie,Warmth,Z125148,4
Dependant-Needy,leslie,Expressiveness,Z125148,4
Joyful-Smiling,sanne,Kawaii,Z125148,1
Joyful-Smiling,sanne,Warmth,Z125148,4
Joyful-Smiling,sanne,Expressiveness,Z125148,4
Normal-Warmup,margot,Kawaii,Z125148,2
Normal-Warmup,margot,Warmth,Z125148,2
Normal-Warmup,margot,Expressiveness,Z125148,3
Escapist-Dreamy,pradathi,Kawaii,Z125148,2
Escapist-Dreamy,pradathi,Warmth,Z125148,2
Escapist-Dreamy,pradathi,Expressiveness,Z125148,2
Dependant-Needy,matheusz,Kawaii,Z125148,1
