Category,Model,Rating,RaterID,Score
Shy-Gentle,rose,Kawaii,d,2
Shy-Gentle,rose,Warmth,d,3
Shy-Gentle,rose,Expressiveness,d,4
Playful-Clumsy,pradathi,Kawaii,d,3
Playful-Clumsy,pradathi,Warmth,d,3
Playful-Clumsy,pradathi,Expressiveness,d,2
Escapist-Dreamy,rose,Kawaii,d,2
Escapist-Dreamy,rose,Warmth,d,4
Escapist-Dreamy,rose,Expressiveness,d,3
Normal-Warmup,leandre,Kawaii,d,3
Normal-Warmup,leandre,Warmth,d,2
Normal-Warmup,leandre,Expressiveness,d,3
Cool-Clever,margot,Kawaii,d,2
Cool-Clever,margot,Warmth,d,4
Cool-Clever,margot,Expressiveness,d,3
