Category,Model,Rating,RaterID,Score
Joyful-Smiling,sanne,Kawaii,niels,3
Joyful-Smiling,sanne,Warmth,niels,4
Joyful-Smiling,sanne,Expressiveness,niels,4
Escapist-Dreamy,victor,Kawaii,niels,1
Escapist-Dreamy,victor,Warmth,niels,2
Escapist-Dreamy,victor,Expressiveness,niels,2
Dependant-Needy,leandre,Kawaii,niels,1
Dependant-Needy,leandre,Warmth,niels,1
Dependant-Needy,leandre,Expressiveness,niels,4
Joyful-Smiling,pradathi,Kawaii,niels,2
Joyful-Smiling,pradathi,Warmth,niels,2
Joyful-Smiling,pradathi,Expressiveness,niels,2
Dependant-Needy,renan,Kawaii,niels,5
Dependant-Needy,renan,Warmth,niels,5
Dependant-Needy,renan,Expressiveness,niels,5
Escapist-Dreamy,matheusz,Kawaii,niels,3
Escapist-Dreamy,matheusz,Warmth,niels,3
Escapist-Dreamy,matheusz,Expressiveness,niels,3
Playful-Clumsy,leslie,Kawaii,niels,2
Playful-Clumsy,leslie,Warmth,niels,2
Playful-Clumsy,leslie,Expressiveness,niels,2
Cool-Clever,matheusz,Kawaii,niels,2
Cool-Clever,matheusz,Warmth,niels,2
Cool-Clever,matheusz,Expressiveness,niels,2
Playful-Clumsy,pradathi,Kawaii,niels,1
Playful-Clumsy,pradathi,Warmth,niels,1
Playful-Clumsy,pradathi,Expressiveness,niels,1
Normal-Warmup,rose,Kawaii,niels,1
Normal-Warmup,rose,Warmth,niels,1
Normal-Warmup,rose,Expressiveness,niels,1
Playful-Clumsy,matheusz,Kawaii,niels,1
Playful-Clumsy,matheusz,Warmth,niels,1
Playful-Clumsy,matheusz,Expressiveness,niels,1
Shy-Gentle,margot,Kawaii,niels,3
Shy-Gentle,margot,Warmth,niels,3
Shy-Gentle,margot,Expressiveness,niels,3
Joyful-Smiling,victor,Kawaii,niels,2
Joyful-Smiling,victor,Warmth,niels,2
Joyful-Smiling,victor,Expressiveness,niels,2
Cool-Clever,leandre,Kawaii,niels,2
Cool-Clever,leandre,Warmth,niels,2
Cool-Clever,leandre,Expressiveness,niels,2
Joyful-Smiling,matheusz,Kawaii,niels,2
Joyful-Smiling,matheusz,Warmth,niels,2
Joyful-Smiling,matheusz,Expressiveness,niels,2
Playful-Clumsy,lorenzo,Kawaii,niels,2
Playful-Clumsy,lorenzo,Warmth,niels,2
Playful-Clumsy,lorenzo,Expressiveness,niels,2
Dependant-Needy,rose,Kawaii,niels,3
Dependant-Needy,rose,Warmth,niels,3
Dependant-Needy,rose,Expressiveness,niels,3
Shy-Gentle,leslie,Kawaii,niels,4
Shy-Gentle,leslie,Warmth,niels,4
Shy-Gentle,leslie,Expressiveness,niels,4
Normal-Warmup,sanne,Kawaii,niels,2
Normal-Warmup,sanne,Warmth,niels,2
Normal-Warmup,sanne,Expressiveness,niels,2
Playful-Clumsy,margot,Kawaii,niels,3
Playful-Clumsy,margot,Warmth,niels,3
Playful-Clumsy,margot,Expressiveness,niels,3
Cool-Clever,rose,Kawaii,niels,1
Cool-Clever,rose,Warmth,niels,1
Cool-Clever,rose,Expressiveness,niels,1
