Category,Model,Rating,RaterID,Score
Shy-Gentle,lorenzo,Kawaii,z524054,4
Shy-Gentle,lorenzo,Warmth,z524054,4
Shy-Gentle,lorenzo,Expressiveness,z524054,4
Escapist-Dreamy,kelly,Kawaii,z524054,3
Escapist-Dreamy,kelly,Warmth,z524054,3
Escapist-Dreamy,kelly,Expressiveness,z524054,3
Joyful-Smiling,leandre,Kawaii,z524054,4
Joyful-Smiling,leandre,Warmth,z524054,4
Joyful-Smiling,leandre,Expressiveness,z524054,4
Dependant-Needy,leslie,Kawaii,z524054,1
Dependant-Needy,leslie,Warmth,z524054,1
Dependant-Needy,leslie,Expressiveness,z524054,4
Cool-Clever,leandre,Kawaii,z524054,1
Cool-Clever,leandre,Warmth,z524054,1
Cool-Clever,leandre,Expressiveness,z524054,4
Playful-Clumsy,lorenzo,Kawaii,z524054,4
Playful-Clumsy,lorenzo,Warmth,z524054,4
Playful-Clumsy,lorenzo,Expressiveness,z524054,4
Normal-Warmup,leandro,Kawaii,z524054,1
Normal-Warmup,leandro,Warmth,z524054,3
Normal-Warmup,leandro,Expressiveness,z524054,3
Escapist-Dreamy,leslie,Kawaii,z524054,3
Escapist-Dreamy,leslie,Warmth,z524054,3
Escapist-Dreamy,leslie,Expressiveness,z524054,3
Dependant-Needy,matheusz,Kawaii,z524054,5
Dependant-Needy,matheusz,Warmth,z524054,4
Dependant-Needy,matheusz,Expressiveness,z524054,4
Joyful-Smiling,leslie,Kawaii,z524054,4
Joyful-Smiling,leslie,Warmth,z524054,4
Joyful-Smiling,leslie,Expressiveness,z524054,4
Playful-Clumsy,rose,Kawaii,z524054,4
Playful-Clumsy,rose,Warmth,z524054,4
Playful-Clumsy,rose,Expressiveness,z524054,4
Shy-Gentle,leandre,Kawaii,z524054,5
Shy-Gentle,leandre,Warmth,z524054,5
Shy-Gentle,leandre,Expressiveness,z524054,5
Playful-Clumsy,margot,Kawaii,z524054,4
Playful-Clumsy,margot,Warmth,z524054,4
Playful-Clumsy,margot,Expressiveness,z524054,4
Cool-Clever,victor,Kawaii,z524054,1
Cool-Clever,victor,Warmth,z524054,1
Cool-Clever,victor,Expressiveness,z524054,4
Dependant-Needy,rose,Kawaii,z524054,5
Dependant-Needy,rose,Warmth,z524054,5
Dependant-Needy,rose,Expressiveness,z524054,5
Joyful-Smiling,kelly,Kawaii,z524054,5
Joyful-Smiling,kelly,Warmth,z524054,5
Joyful-Smiling,kelly,Expressiveness,z524054,5
Cool-Clever,margot,Kawaii,z524054,1
Cool-Clever,margot,Warmth,z524054,1
Cool-Clever,margot,Expressiveness,z524054,4
Playful-Clumsy,kelly,Kawaii,z524054,5
Playful-Clumsy,kelly,Warmth,z524054,5
Playful-Clumsy,kelly,Expressiveness,z524054,5
Shy-Gentle,sanne,Kawaii,z524054,5
Shy-Gentle,sanne,Warmth,z524054,5
Shy-Gentle,sanne,Expressiveness,z524054,5
Escapist-Dreamy,renan,Kawaii,z524054,4
Escapist-Dreamy,renan,Warmth,z524054,4
Escapist-Dreamy,renan,Expressiveness,z524054,4
Normal-Warmup,margot,Kawaii,z524054,3
Normal-Warmup,margot,Warmth,z524054,3
Normal-Warmup,margot,Expressiveness,z524054,3
Escapist-Dreamy,matheusz,Kawaii,z524054,4
Escapist-Dreamy,matheusz,Warmth,z524054,2
Escapist-Dreamy,matheusz,Expressiveness,z524054,2
Normal-Warmup,leslie,Kawaii,z524054,1
Normal-Warmup,leslie,Warmth,z524054,3
Normal-Warmup,leslie,Expressiveness,z524054,3
Playful-Clumsy,sanne,Kawaii,z524054,5
Playful-Clumsy,sanne,Warmth,z524054,5
Playful-Clumsy,sanne,Expressiveness,z524054,5
Normal-Warmup,leandre,Kawaii,z524054,1
Normal-Warmup,leandre,Warmth,z524054,3
Normal-Warmup,leandre,Expressiveness,z524054,3
Cool-Clever,kelly,Kawaii,z524054,1
Cool-Clever,kelly,Warmth,z524054,1
Cool-Clever,kelly,Expressiveness,z524054,5
Normal-Warmup,pradathi,Kawaii,z524054,1
Normal-Warmup,pradathi,Warmth,z524054,3
Normal-Warmup,pradathi,Expressiveness,z524054,3
Cool-Clever,rose,Kawaii,z524054,1
Cool-Clever,rose,Warmth,z524054,1
Cool-Clever,rose,Expressiveness,z524054,5
Playful-Clumsy,victor,Kawaii,z524054,5
Playful-Clumsy,victor,Warmth,z524054,5
Playful-Clumsy,victor,Expressiveness,z524054,5
Joyful-Smiling,rose,Kawaii,z524054,5
Joyful-Smiling,rose,Warmth,z524054,5
Joyful-Smiling,rose,Expressiveness,z524054,5
Dependant-Needy,margot,Kawaii,z524054,5
Dependant-Needy,margot,Warmth,z524054,5
Dependant-Needy,margot,Expressiveness,z524054,5
Cool-Clever,lorenzo,Kawaii,z524054,1
Cool-Clever,lorenzo,Warmth,z524054,1
Cool-Clever,lorenzo,Expressiveness,z524054,5
Normal-Warmup,sanne,Kawaii,z524054,1
Normal-Warmup,sanne,Warmth,z524054,3
Normal-Warmup,sanne,Expressiveness,z524054,3
Shy-Gentle,kelly,Kawaii,z524054,5
Shy-Gentle,kelly,Warmth,z524054,5
Shy-Gentle,kelly,Expressiveness,z524054,5
Dependant-Needy,sanne,Kawaii,z524054,5
Dependant-Needy,sanne,Warmth,z524054,5
Dependant-Needy,sanne,Expressiveness,z524054,5
Shy-Gentle,pradathi,Kawaii,z524054,5
Shy-Gentle,pradathi,Warmth,z524054,5
Shy-Gentle,pradathi,Expressiveness,z524054,5
Dependant-Needy,renan,Kawaii,z524054,5
Dependant-Needy,renan,Warmth,z524054,5
Dependant-Needy,renan,Expressiveness,z524054,5
Playful-Clumsy,matheusz,Kawaii,z524054,5
Playful-Clumsy,matheusz,Warmth,z524054,5
Playful-Clumsy,matheusz,Expressiveness,z524054,5
Normal-Warmup,lorenzo,Kawaii,z524054,1
Normal-Warmup,lorenzo,Warmth,z524054,3
Normal-Warmup,lorenzo,Expressiveness,z524054,3
Joyful-Smiling,sanne,Kawaii,z524054,5
Joyful-Smiling,sanne,Warmth,z524054,5
Joyful-Smiling,sanne,Expressiveness,z524054,5
Cool-Clever,leandro,Kawaii,z524054,1
Cool-Clever,leandro,Warmth,z524054,1
Cool-Clever,leandro,Expressiveness,z524054,4
Shy-Gentle,rose,Kawaii,z524054,5
Shy-Gentle,rose,Warmth,z524054,5
Shy-Gentle,rose,Expressiveness,z524054,5
Dependant-Needy,leandre,Kawaii,z524054,4
Dependant-Needy,leandre,Warmth,z524054,4
Dependant-Needy,leandre,Expressiveness,z524054,5
Cool-Clever,pradathi,Kawaii,z524054,1
Cool-Clever,pradathi,Warmth,z524054,1
Cool-Clever,pradathi,Expressiveness,z524054,5
Escapist-Dreamy,leandro,Kawaii,z524054,4
Escapist-Dreamy,leandro,Warmth,z524054,3
Escapist-Dreamy,leandro,Expressiveness,z524054,3
Normal-Warmup,renan,Kawaii,z524054,1
Normal-Warmup,renan,Warmth,z524054,3
Normal-Warmup,renan,Expressiveness,z524054,3
Joyful-Smiling,pradathi,Kawaii,z524054,5
Joyful-Smiling,pradathi,Warmth,z524054,5
Joyful-Smiling,pradathi,Expressiveness,z524054,5
Escapist-Dreamy,lorenzo,Kawaii,z524054,4
Escapist-Dreamy,lorenzo,Warmth,z524054,3
Escapist-Dreamy,lorenzo,Expressiveness,z524054,3
Cool-Clever,matheusz,Kawaii,z524054,1
Cool-Clever,matheusz,Warmth,z524054,1
Cool-Clever,matheusz,Expressiveness,z524054,5
Normal-Warmup,rose,Kawaii,z524054,1
Normal-Warmup,rose,Warmth,z524054,3
Normal-Warmup,rose,Expressiveness,z524054,3
Joyful-Smiling,renan,Kawaii,z524054,5
Joyful-Smiling,renan,Warmth,z524054,5
Joyful-Smiling,renan,Expressiveness,z524054,5
Playful-Clumsy,leslie,Kawaii,z524054,5
Playful-Clumsy,leslie,Warmth,z524054,5
Playful-Clumsy,leslie,Expressiveness,z524054,5
Joyful-Smiling,victor,Kawaii,z524054,5
Joyful-Smiling,victor,Warmth,z524054,5
Joyful-Smiling,victor,Expressiveness,z524054,5
Playful-Clumsy,pradathi,Kawaii,z524054,5
Playful-Clumsy,pradathi,Warmth,z524054,5
Playful-Clumsy,pradathi,Expressiveness,z524054,5
Escapist-Dreamy,rose,Kawaii,z524054,4
Escapist-Dreamy,rose,Warmth,z524054,3
Escapist-Dreamy,rose,Expressiveness,z524054,3
Playful-Clumsy,leandre,Kawaii,z524054,4
Playful-Clumsy,leandre,Warmth,z524054,4
Playful-Clumsy,leandre,Expressiveness,z524054,4
Normal-Warmup,kelly,Kawaii,z524054,1
Normal-Warmup,kelly,Warmth,z524054,3
Normal-Warmup,kelly,Expressiveness,z524054,3
Shy-Gentle,matheusz,Kawaii,z524054,5
Shy-Gentle,matheusz,Warmth,z524054,5
Shy-Gentle,matheusz,Expressiveness,z524054,5
Dependant-Needy,kelly,Kawaii,z524054,5
Dependant-Needy,kelly,Warmth,z524054,5
Dependant-Needy,kelly,Expressiveness,z524054,4
Joyful-Smiling,matheusz,Kawaii,z524054,5
Joyful-Smiling,matheusz,Warmth,z524054,5
Joyful-Smiling,matheusz,Expressiveness,z524054,5
Shy-Gentle,leandro,Kawaii,z524054,5
Shy-Gentle,leandro,Warmth,z524054,5
Shy-Gentle,leandro,Expressiveness,z524054,5
Playful-Clumsy,renan,Kawaii,z524054,5
Playful-Clumsy,renan,Warmth,z524054,5
Playful-Clumsy,renan,Expressiveness,z524054,5
Shy-Gentle,leslie,Kawaii,z524054,5
Shy-Gentle,leslie,Warmth,z524054,4
Shy-Gentle,leslie,Expressiveness,z524054,5
Joyful-Smiling,leandro,Kawaii,z524054,5
Joyful-Smiling,leandro,Warmth,z524054,5
Joyful-Smiling,leandro,Expressiveness,z524054,5
Escapist-Dreamy,victor,Kawaii,z524054,4
Escapist-Dreamy,victor,Warmth,z524054,3
Escapist-Dreamy,victor,Expressiveness,z524054,4
Dependant-Needy,lorenzo,Kawaii,z524054,5
Dependant-Needy,lorenzo,Warmth,z524054,5
Dependant-Needy,lorenzo,Expressiveness,z524054,5
Escapist-Dreamy,leandre,Kawaii,z524054,2
Escapist-Dreamy,leandre,Warmth,z524054,3
Escapist-Dreamy,leandre,Expressiveness,z524054,3
Cool-Clever,leslie,Kawaii,z524054,1
Cool-Clever,leslie,Warmth,z524054,1
Cool-Clever,leslie,Expressiveness,z524054,5
Escapist-Dreamy,sanne,Kawaii,z524054,4
Escapist-Dreamy,sanne,Warmth,z524054,3
Escapist-Dreamy,sanne,Expressiveness,z524054,3
Dependant-Needy,leandro,Kawaii,z524054,5
Dependant-Needy,leandro,Warmth,z524054,4
Dependant-Needy,leandro,Expressiveness,z524054,5
Normal-Warmup,matheusz,Kawaii,z524054,1
Normal-Warmup,matheusz,Warmth,z524054,3
Normal-Warmup,matheusz,Expressiveness,z524054,3
Joyful-Smiling,lorenzo,Kawaii,z524054,5
Joyful-Smiling,lorenzo,Warmth,z524054,5
Joyful-Smiling,lorenzo,Expressiveness,z524054,5
Shy-Gentle,victor,Kawaii,z524054,5
Shy-Gentle,victor,Warmth,z524054,5
Shy-Gentle,victor,Expressiveness,z524054,5
Escapist-Dreamy,margot,Kawaii,z524054,4
Escapist-Dreamy,margot,Warmth,z524054,3
Escapist-Dreamy,margot,Expressiveness,z524054,3
Cool-Clever,sanne,Kawaii,z524054,1
Cool-Clever,sanne,Warmth,z524054,1
Cool-Clever,sanne,Expressiveness,z524054,5
Dependant-Needy,pradathi,Kawaii,z524054,5
Dependant-Needy,pradathi,Warmth,z524054,5
Dependant-Needy,pradathi,Expressiveness,z524054,5
Joyful-Smiling,margot,Kawaii,z524054,5
Joyful-Smiling,margot,Warmth,z524054,5
Joyful-Smiling,margot,Expressiveness,z524054,5
Normal-Warmup,victor,Kawaii,z524054,1
Normal-Warmup,victor,Warmth,z524054,3
Normal-Warmup,victor,Expressiveness,z524054,3
Escapist-Dreamy,pradathi,Kawaii,z524054,4
Escapist-Dreamy,pradathi,Warmth,z524054,3
Escapist-Dreamy,pradathi,Expressiveness,z524054,3
Shy-Gentle,renan,Kawaii,z524054,5
Shy-Gentle,renan,Warmth,z524054,5
Shy-Gentle,renan,Expressiveness,z524054,5
Dependant-Needy,victor,Kawaii,z524054,5
Dependant-Needy,victor,Warmth,z524054,5
Dependant-Needy,victor,Expressiveness,z524054,5
Cool-Clever,renan,Kawaii,z524054,1
Cool-Clever,renan,Warmth,z524054,1
Cool-Clever,renan,Expressiveness,z524054,5
Shy-Gentle,margot,Kawaii,z524054,5
Shy-Gentle,margot,Warmth,z524054,5
Shy-Gentle,margot,Expressiveness,z524054,5
Playful-Clumsy,leandro,Kawaii,z524054,5
Playful-Clumsy,leandro,Warmth,z524054,5
Playful-Clumsy,leandro,Expressiveness,z524054,5
