,Category,Model,Rating,RaterID,Score
156,Normal-Warmup,pragathi,Warmth,pragathi,2.0
157,Normal-Warmup,rose,Warmth,rose,1.0
158,Normal-Warmup,matheusz,Warmth,matheusz,4.0
159,Normal-Warmup,victor,Warmth,victor,2.0
161,Normal-Warmup,leslie,Warmth,leslie,5.0
162,Normal-Warmup,leandre,Warmth,leandre,4.0
163,Normal-Warmup,lorenzo,Warmth,lorenzo,4.0
164,Normal-Warmup,leandro,Warmth,leandro,4.0
165,Normal-Warmup,renan,Warmth,renan,4.0
166,Normal-Warmup,kelly,Warmth,kelly,1.0
167,Normal-Warmup,margot,Warmth,margot,3.0
168,Normal-Warmup,sanne,Warmth,sanne,3.0
169,Normal-Warmup,pragathi,Expressiveness,pragathi,1.0
170,Normal-Warmup,rose,Expressiveness,rose,2.0
171,Normal-Warmup,matheusz,Expressiveness,matheusz,4.0
172,Normal-Warmup,victor,Expressiveness,victor,3.0
174,Normal-Warmup,leslie,Expressiveness,leslie,5.0
175,Normal-Warmup,leandre,Expressiveness,leandre,4.0
176,Normal-Warmup,lorenzo,Expressiveness,lorenzo,3.0
177,Normal-Warmup,leandro,Expressiveness,leandro,2.0
178,Normal-Warmup,renan,Expressiveness,renan,3.0
179,Normal-Warmup,kelly,Expressiveness,kelly,2.0
180,Normal-Warmup,margot,Expressiveness,margot,3.0
181,Normal-Warmup,sanne,Expressiveness,sanne,4.0
221,Normal-Warmup,pragathi,Kawaii,pragathi,3.0
222,Normal-Warmup,rose,Kawaii,rose,1.0
223,Normal-Warmup,matheusz,Kawaii,matheusz,2.0
224,Normal-Warmup,victor,Kawaii,victor,4.0
226,Normal-Warmup,leslie,Kawaii,leslie,4.0
227,Normal-Warmup,leandre,Kawaii,leandre,3.0
228,Normal-Warmup,lorenzo,Kawaii,lorenzo,4.0
229,Normal-Warmup,leandro,Kawaii,leandro,3.0
230,Normal-Warmup,renan,Kawaii,renan,3.0
231,Normal-Warmup,kelly,Kawaii,kelly,1.0
232,Normal-Warmup,margot,Kawaii,margot,2.0
233,Normal-Warmup,sanne,Kawaii,sanne,3.0
546,Shy-Gentle,pragathi,Warmth,pragathi,3.0
547,Shy-Gentle,rose,Warmth,rose,4.0
548,Shy-Gentle,matheusz,Warmth,matheusz,4.0
549,Shy-Gentle,victor,Warmth,victor,1.0
551,Shy-Gentle,leslie,Warmth,leslie,3.0
552,Shy-Gentle,leandre,Warmth,leandre,5.0
553,Shy-Gentle,lorenzo,Warmth,lorenzo,3.0
554,Shy-Gentle,leandro,Warmth,leandro,4.0
555,Shy-Gentle,renan,Warmth,renan,4.0
556,Shy-Gentle,kelly,Warmth,kelly,4.0
557,Shy-Gentle,margot,Warmth,margot,5.0
558,Shy-Gentle,sanne,Warmth,sanne,4.0
559,Shy-Gentle,pragathi,Expressiveness,pragathi,4.0
560,Shy-Gentle,rose,Expressiveness,rose,4.0
561,Shy-Gentle,matheusz,Expressiveness,matheusz,4.0
562,Shy-Gentle,victor,Expressiveness,victor,5.0
564,Shy-Gentle,leslie,Expressiveness,leslie,5.0
565,Shy-Gentle,leandre,Expressiveness,leandre,5.0
566,Shy-Gentle,lorenzo,Expressiveness,lorenzo,3.0
567,Shy-Gentle,leandro,Expressiveness,leandro,3.0
568,Shy-Gentle,renan,Expressiveness,renan,3.0
569,Shy-Gentle,kelly,Expressiveness,kelly,4.0
570,Shy-Gentle,margot,Expressiveness,margot,4.0
571,Shy-Gentle,sanne,Expressiveness,sanne,5.0
611,Shy-Gentle,pragathi,Kawaii,pragathi,4.0
612,Shy-Gentle,rose,Kawaii,rose,4.0
613,Shy-Gentle,matheusz,Kawaii,matheusz,5.0
614,Shy-Gentle,victor,Kawaii,victor,5.0
616,Shy-Gentle,leslie,Kawaii,leslie,3.0
617,Shy-Gentle,leandre,Kawaii,leandre,5.0
618,Shy-Gentle,lorenzo,Kawaii,lorenzo,3.0
619,Shy-Gentle,leandro,Kawaii,leandro,3.0
620,Shy-Gentle,renan,Kawaii,renan,4.0
621,Shy-Gentle,kelly,Kawaii,kelly,5.0
622,Shy-Gentle,margot,Kawaii,margot,4.0
623,Shy-Gentle,sanne,Kawaii,sanne,5.0
1092,Joyful-Smiling,pragathi,Warmth,pragathi,3.0
1093,Joyful-Smiling,rose,Warmth,rose,4.0
1094,Joyful-Smiling,matheusz,Warmth,matheusz,5.0
1095,Joyful-Smiling,victor,Warmth,victor,5.0
1097,Joyful-Smiling,leslie,Warmth,leslie,5.0
1098,Joyful-Smiling,leandre,Warmth,leandre,5.0
1099,Joyful-Smiling,lorenzo,Warmth,lorenzo,4.0
1100,Joyful-Smiling,leandro,Warmth,leandro,5.0
1101,Joyful-Smiling,renan,Warmth,renan,3.0
1102,Joyful-Smiling,kelly,Warmth,kelly,5.0
1103,Joyful-Smiling,margot,Warmth,margot,5.0
1104,Joyful-Smiling,sanne,Warmth,sanne,4.0
1105,Joyful-Smiling,pragathi,Expressiveness,pragathi,2.0
1106,Joyful-Smiling,rose,Expressiveness,rose,4.0
1107,Joyful-Smiling,matheusz,Expressiveness,matheusz,4.0
1108,Joyful-Smiling,victor,Expressiveness,victor,5.0
1110,Joyful-Smiling,leslie,Expressiveness,leslie,5.0
1111,Joyful-Smiling,leandre,Expressiveness,leandre,4.0
1112,Joyful-Smiling,lorenzo,Expressiveness,lorenzo,3.0
1113,Joyful-Smiling,leandro,Expressiveness,leandro,5.0
1114,Joyful-Smiling,renan,Expressiveness,renan,4.0
1115,Joyful-Smiling,kelly,Expressiveness,kelly,4.0
1116,Joyful-Smiling,margot,Expressiveness,margot,5.0
1117,Joyful-Smiling,sanne,Expressiveness,sanne,4.0
1157,Joyful-Smiling,pragathi,Kawaii,pragathi,3.0
1158,Joyful-Smiling,rose,Kawaii,rose,3.0
1159,Joyful-Smiling,matheusz,Kawaii,matheusz,4.0
1160,Joyful-Smiling,victor,Kawaii,victor,5.0
1162,Joyful-Smiling,leslie,Kawaii,leslie,5.0
1163,Joyful-Smiling,leandre,Kawaii,leandre,5.0
1164,Joyful-Smiling,lorenzo,Kawaii,lorenzo,3.0
1165,Joyful-Smiling,leandro,Kawaii,leandro,4.0
1166,Joyful-Smiling,renan,Kawaii,renan,4.0
1167,Joyful-Smiling,kelly,Kawaii,kelly,5.0
1168,Joyful-Smiling,margot,Kawaii,margot,5.0
1169,Joyful-Smiling,sanne,Kawaii,sanne,4.0
1404,Dependant-Needy,pragathi,Warmth,pragathi,4.0
1405,Dependant-Needy,rose,Warmth,rose,5.0
1406,Dependant-Needy,matheusz,Warmth,matheusz,4.0
1407,Dependant-Needy,victor,Warmth,victor,4.0
1409,Dependant-Needy,leslie,Warmth,leslie,4.0
1410,Dependant-Needy,leandre,Warmth,leandre,3.0
1411,Dependant-Needy,lorenzo,Warmth,lorenzo,2.0
1412,Dependant-Needy,leandro,Warmth,leandro,2.0
1413,Dependant-Needy,renan,Warmth,renan,2.0
1414,Dependant-Needy,kelly,Warmth,kelly,4.0
1415,Dependant-Needy,margot,Warmth,margot,4.0
1416,Dependant-Needy,sanne,Warmth,sanne,2.0
