Category,ModelID,kawaii_mean,image_path
Cool-Clever,kelly,3.0,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_kelly.png
Cool-Clever,leandre,2.4791666666666665,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_leandre.png
Cool-Clever,leandro,2.6875,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_leandro.png
Cool-Clever,leslie,2.3541666666666665,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_leslie.png
Cool-Clever,lorenzo,2.6666666666666665,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_lorenzo.png
Cool-Clever,margot,3.019607843137255,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_margot.png
Cool-Clever,matheusz,2.9375,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_matheusz.png
Cool-Clever,pradathi,2.8333333333333335,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_pradathi.png
Cool-Clever,renan,2.7555555555555555,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_renan.png
Cool-Clever,rose,2.5098039215686274,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_rose.png
Cool-Clever,sanne,2.911111111111111,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_sanne.png
Cool-Clever,victor,2.7058823529411766,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/blurred_victor.png
Dependant-Needy,kelly,3.9411764705882355,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/blurred_kelly.png
Dependant-Needy,leandre,2.8444444444444446,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/blurred_leandre.png
Dependant-Needy,leandro,2.2666666666666666,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/blurred_leandro.png
Dependant-Needy,leslie,2.5416666666666665,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/blurred_leslie.png
Dependant-Needy,lorenzo,3.125,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/blurred_lorenzo.png
Dependant-Needy,margot,3.685185185185185,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/blurred_margot.png
Dependant-Needy,matheusz,2.843137254901961,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/blurred_matheusz.png
